,player,runs,mins,bf,4s,6s,sr,inns_batting,unnamed:,overs,mdns,runs,wkts,econ,inns_batting,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country
2489,DJ Malan,140,106,107,16,5,130.84,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-10,ENG
7250,MA Wood,6*,6,5,1,0,120.00,1,,10.0,0,29,1,2.90,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-10,ENG
5372,JM Bairstow,52,80,59,8,0,88.13,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Bangladesh,Dharamsala,2023-10-10,ENG
8427,Mehidy Hasan Miraz,8,12,7,1,0,114.28,2,,6.0,0,55,0,9.16,1,0,0,0,0,0,v England,Dharamsala,2023-10-10,BAN
10594,RJW Topley,1*,2,2,0,0,50.00,1,,10.0,1,43,4,4.30,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-10,ENG
3633,HC Brook,20,23,15,3,0,133.33,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-10,ENG
7501,MJ Henry,10*,6,4,0,1,250.00,1,,8.3,0,40,3,4.70,2,2,2,0,0,2,v Netherlands,Hyderabad,2023-10-09,NZ
12748,TA Boult,DNB,-,-,-,-,-,1,,8.0,0,34,0,4.25,2,1,1,0,0,1,v Netherlands,Hyderabad,2023-10-09,NZ
6751,LH Ferguson,DNB,-,-,-,-,-,1,,8.0,0,32,0,4.00,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-09,NZ
7632,MJ Santner,36*,25,17,3,2,211.76,1,,10.0,0,59,5,5.90,2,1,1,0,0,1,v Netherlands,Hyderabad,2023-10-09,NZ
2689,DP Conway,32,51,40,5,1,80.00,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Netherlands,Hyderabad,2023-10-09,NZ
13739,WA Young,70,106,80,7,2,87.50,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-09,NZ
3310,GD Phillips,4,6,4,1,0,100.00,1,,2.0,0,11,0,5.50,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-09,NZ
10334,R Ravindra,51,87,51,3,1,100.00,1,,10.0,0,46,1,4.60,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-09,NZ
2535,DJ Mitchell,48,67,47,5,2,102.12,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-09,NZ
13062,TWM Latham,53,72,46,6,1,115.21,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-09,NZ
8013,MS Chapman,5,11,13,0,0,38.46,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-09,NZ
7948,MR Marsh,0,11,6,0,0,0.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
6104,KL Rahul,97*,180,115,8,2,84.34,2,,DNB,-,-,-,-,1,1,1,0,1,0,v Australia,Chennai,2023-10-08,IND
11578,SS Iyer,0,2,3,0,0,0.00,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Australia,Chennai,2023-10-08,IND
1870,C Green,8,31,20,0,0,40.00,1,,2.0,0,11,0,5.50,2,1,1,0,0,1,v India,Chennai,2023-10-08,AUS
749,AT Carey,0,1,2,0,0,0.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
5128,JJ Bumrah,DNB,-,-,-,-,-,2,,10.0,0,35,2,3.50,1,0,0,0,0,0,v Australia,Chennai,2023-10-08,IND
13546,V Kohli,85,171,116,6,0,73.27,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Australia,Chennai,2023-10-08,IND
11482,SPD Smith,46,112,71,5,0,64.78,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
10356,RA Jadeja,DNB,-,-,-,-,-,2,,10.0,2,28,3,2.80,1,0,0,0,0,0,v Australia,Chennai,2023-10-08,IND
61,A Zampa,6,28,20,0,0,30.00,1,,8.0,0,53,0,6.62,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
10287,R Ashwin,DNB,-,-,-,-,-,2,,10.0,1,34,1,3.40,1,0,0,0,0,0,v Australia,Chennai,2023-10-08,IND
4680,Ishan Kishan,0,3,1,0,0,0.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Australia,Chennai,2023-10-08,IND
7042,M Labuschagne,27,58,41,1,0,65.85,1,,DNB,-,-,-,-,2,1,1,0,0,1,v India,Chennai,2023-10-08,AUS
3725,HH Pandya,11*,17,8,0,1,137.50,2,,3.0,0,28,1,9.33,1,1,1,0,0,1,v Australia,Chennai,2023-10-08,IND
7165,MA Starc,28,58,35,2,1,80.00,1,,8.0,0,31,1,3.87,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
3406,GJ Maxwell,15,44,25,1,0,60.00,1,,8.0,0,33,0,4.12,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
5658,JR Hazlewood,1*,6,1,0,0,100.00,1,,9.0,1,38,3,4.22,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
9156,Mohammed Siraj,DNB,-,-,-,-,-,2,,6.3,1,26,1,4.00,1,0,0,0,0,0,v Australia,Chennai,2023-10-08,IND
10057,PJ Cummins,15,26,24,1,1,62.50,1,,6.2,0,33,0,5.21,2,0,0,0,0,0,v India,Chennai,2023-10-08,AUS
10460,RG Sharma,0,10,6,0,0,0.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Australia,Chennai,2023-10-08,IND
2376,DA Warner,41,76,52,6,0,78.84,1,,DNB,-,-,-,-,2,1,1,0,0,1,v India,Chennai,2023-10-08,AUS
6419,Kuldeep Yadav,DNB,-,-,-,-,-,2,,10.0,0,42,2,4.20,1,1,1,0,0,1,v Australia,Chennai,2023-10-08,IND
5940,K Rabada,DNB,-,-,-,-,-,1,,7.5,0,50,2,6.38,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
9689,Najibullah Zadran,5,16,13,0,0,38.46,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
2332,DA Miller,39*,36,21,3,2,185.71,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
10265,Q de Kock,100,140,84,12,3,119.04,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
507,AK Markram,106,84,54,14,3,196.29,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Sri Lanka,Delhi,2023-10-07,SA
13245,Tanzid Hasan,5,19,13,1,0,38.46,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Afghanistan,Dharamsala,2023-10-07,BAN
9337,Mushfiqur Rahim,2*,6,3,0,0,66.66,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
6578,L Ngidi,DNB,-,-,-,-,-,1,,8.0,1,49,1,6.12,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
4180,Hashmatullah Shahidi,18,34,38,2,0,47.36,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
6910,Litton Das,13,29,18,2,0,72.22,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Afghanistan,Dharamsala,2023-10-07,BAN
9258,Mujeeb Ur Rahman,1,9,4,0,0,25.00,1,,7.0,0,30,0,4.28,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
12124,Shakib Al Hasan,14,24,19,2,0,73.68,2,,8.0,0,30,3,3.75,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
3612,H Klaasen,32,30,20,1,3,160.00,1,,DNB,-,-,-,-,2,2,2,0,2,0,v Sri Lanka,Delhi,2023-10-07,SA
3262,G Coetzee,DNB,-,-,-,-,-,1,,9.0,0,68,3,7.55,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
8209,Mahmudullah,DNB,-,-,-,-,-,2,,1.0,0,7,0,7.00,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
6037,KA Maharaj,DNB,-,-,-,-,-,1,,10.0,0,62,2,6.20,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
13284,Taskin Ahmed,DNB,-,-,-,-,-,2,,6.0,0,32,1,5.33,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
4337,Ibrahim Zadran,22,41,25,3,1,88.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
8416,Mehidy Hasan Miraz,57,89,73,5,0,78.08,2,,9.0,3,25,3,2.77,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
9905,Naveen-ul-Haq,0,8,6,0,0,0.00,1,,5.4,0,31,1,5.47,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
10741,Rahmanullah Gurbaz,47,112,62,4,1,75.80,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
3215,Fazalhaq Farooqi,0*,3,3,0,0,0.00,1,,5.0,0,19,1,3.80,2,1,1,0,0,1,v Bangladesh,Dharamsala,2023-10-07,AFG
8733,Mohammad Nabi,6,19,12,0,0,50.00,1,,6.0,1,18,0,3.00,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
10791,Rahmat Shah,18,30,25,1,0,72.00,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Bangladesh,Dharamsala,2023-10-07,AFG
12352,Shoriful Islam,DNB,-,-,-,-,-,2,,6.2,1,34,2,5.36,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
9469,Mustafizur Rahman,DNB,-,-,-,-,-,2,,7.0,1,28,1,4.00,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
13365,Towhid Hridoy,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Afghanistan,Dharamsala,2023-10-07,BAN
12589,T Bavuma,8,9,5,2,0,160.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
1385,Azmatullah Omarzai,22,32,20,4,0,110.00,1,,2.0,0,9,1,4.50,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
9767,Najmul Hossain Shanto,59*,112,83,3,1,71.08,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Afghanistan,Dharamsala,2023-10-07,BAN
7020,M Jansen,12*,15,7,0,1,171.42,1,,10.0,0,92,2,9.20,2,1,1,0,0,1,v Sri Lanka,Delhi,2023-10-07,SA
3713,HE van der Dussen,108,161,110,13,2,98.18,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Sri Lanka,Delhi,2023-10-07,SA
10903,Rashid Khan,9,16,16,1,0,56.25,1,,9.0,0,48,0,5.33,2,0,0,0,0,0,v Bangladesh,Dharamsala,2023-10-07,AFG
8932,Mohammad Rizwan,68,104,75,8,0,90.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
11969,Shadab Khan,32,42,34,2,1,94.11,1,,8.0,0,45,1,5.62,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
3134,Fakhar Zaman,12,14,15,3,0,80.00,1,,DNB,-,-,-,-,2,2,2,0,0,2,v Netherlands,Hyderabad,2023-10-06,PAK
8869,Mohammad Nawaz,39,66,43,4,0,90.69,1,,7.0,0,31,1,4.42,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,3
4113,Hasan Ali,0,2,1,0,0,0.00,1,,7.0,1,33,2,4.71,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
1783,Babar Azam,5,20,18,0,0,27.77,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
11928,Saud Shakeel,68,84,52,9,1,130.76,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
4531,Imam-ul-Haq,15,40,19,2,0,78.94,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
4015,Haris Rauf,16,10,14,2,1,114.28,1,,9.0,0,43,3,4.77,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
4382,Iftikhar Ahmed,9,22,11,1,0,81.81,1,,3.0,0,16,1,5.33,2,0,0,0,0,0,v Netherlands,Hyderabad,2023-10-06,PAK
12071,Shaheen Shah Afridi,13*,23,12,2,0,108.33,1,,7.0,0,37,1,5.28,2,1,1,0,0,1,v Netherlands,Hyderabad,2023-10-06,PAK
10327,R Ravindra,123*,141,96,11,5,128.12,2,,10.0,0,76,1,7.60,1,0,0,0,0,0,v England,Ahmedabad,2023-10-05,NZ
3294,GD Phillips,DNB,-,-,-,-,-,2,,3.0,0,17,2,5.66,1,0,0,0,0,0,v England,Ahmedabad,2023-10-05,NZ
5026,JE Root,77,140,86,4,1,89.53,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
7266,MA Wood,13*,19,14,0,0,92.85,1,,5.0,0,55,0,11.00,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
2522,DJ Mitchell,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,1,1,0,0,1,v England,Ahmedabad,2023-10-05,NZ
2676,DP Conway,152*,147,121,19,3,125.61,2,,DNB,-,-,-,-,1,1,1,0,0,1,v England,Ahmedabad,2023-10-05,NZ
6886,LS Livingstone,20,23,22,3,0,90.90,1,,3.0,0,24,0,8.00,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
4949,JDS Neesham,DNB,-,-,-,-,-,2,,7.0,0,56,0,8.00,1,0,0,0,0,0,v England,Ahmedabad,2023-10-05,NZ
2129,CR Woakes,11,15,12,1,0,91.66,1,,6.0,0,45,0,7.50,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
13728,WA Young,0,5,1,0,0,0.00,2,,DNB,-,-,-,-,1,1,1,0,0,1,v England,Ahmedabad,2023-10-05,NZ
13018,TWM Latham,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,3,3,0,3,0,v England,Ahmedabad,2023-10-05,NZ
3638,HC Brook,25,20,16,4,1,156.25,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
895,AU Rashid,15*,23,13,0,1,115.38,1,,7.0,0,47,0,6.71,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
11377,SM Curran,14,30,19,0,0,73.68,1,,6.0,2,47,1,7.83,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
4843,JC Buttler,43,48,42,2,2,102.38,1,,DNB,-,-,-,-,2,1,1,0,1,0,v New Zealand,Ahmedabad,2023-10-05,ENG
7477,MJ Henry,DNB,-,-,-,-,-,2,,10.0,1,48,3,4.80,1,1,1,0,0,1,v England,Ahmedabad,2023-10-05,NZ
5394,JM Bairstow,33,57,35,4,1,94.28,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
2500,DJ Malan,14,36,24,2,0,58.33,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
8006,MS Chapman,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,0,0,0,0,0,v England,Ahmedabad,2023-10-05,NZ
7760,MM Ali,11,20,17,1,0,64.70,1,,9.2,0,60,0,6.42,2,0,0,0,0,0,v New Zealand,Ahmedabad,2023-10-05,ENG
12719,TA Boult,DNB,-,-,-,-,-,2,,10.0,1,48,1,4.80,1,0,0,0,0,0,v England,Ahmedabad,2023-10-05,NZ
7590,MJ Santner,DNB,-,-,-,-,-,2,,10.0,0,37,2,3.70,1,0,0,0,0,0,v England,Ahmedabad,2023-10-05,NZ
7046,M Labuschagne,72,99,58,9,0,124.13,1,,DNB,-,-,-,-,2,2,2,0,0,2,v India,Rajkot,2023-09-27,AUS
13845,Washington Sundar,18,51,30,1,1,60.00,2,,10.0,0,48,0,4.80,1,0,0,0,0,0,v Australia,Rajkot,2023-09-27,IND
5138,JJ Bumrah,5,14,11,1,0,45.45,2,,10.0,0,81,3,8.10,1,0,0,0,0,0,v Australia,Rajkot,2023-09-27,IND
12593,T Sangha,DNB,-,-,-,-,-,1,,10.0,0,61,1,6.10,2,0,0,0,0,0,v India,Rajkot,2023-09-27,AUS
7111,M Prasidh Krishna,0*,4,3,0,0,0.00,2,,5.0,0,45,1,9.00,1,1,1,0,0,1,v Australia,Rajkot,2023-09-27,IND
6109,KL Rahul,26,37,30,2,0,86.66,2,,DNB,-,-,-,-,1,1,1,0,1,0,v Australia,Rajkot,2023-09-27,IND
13557,V Kohli,56,63,61,5,1,91.80,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Australia,Rajkot,2023-09-27,IND
757,AT Carey,11,24,19,1,0,57.89,1,,DNB,-,-,-,-,2,1,1,0,1,0,v India,Rajkot,2023-09-27,AUS
11582,SS Iyer,48,74,43,1,2,111.62,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Australia,Rajkot,2023-09-27,IND
1873,C Green,9,12,13,1,0,69.23,1,,6.4,0,30,1,4.50,2,0,0,0,0,0,v India,Rajkot,2023-09-27,AUS
7951,MR Marsh,96,114,84,13,3,114.28,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Rajkot,2023-09-27,AUS
7167,MA Starc,1*,4,2,0,0,50.00,1,,7.0,0,53,1,7.57,2,0,0,0,0,0,v India,Rajkot,2023-09-27,AUS
11490,SPD Smith,74,89,61,8,1,121.31,1,,DNB,-,-,-,-,2,1,1,0,0,1,v India,Rajkot,2023-09-27,AUS
5660,JR Hazlewood,DNB,-,-,-,-,-,1,,8.0,0,42,2,5.25,2,0,0,0,0,0,v India,Rajkot,2023-09-27,AUS
10067,PJ Cummins,19*,40,22,1,0,86.36,1,,8.0,0,59,1,7.37,2,1,1,0,0,1,v India,Rajkot,2023-09-27,AUS
10365,RA Jadeja,35,48,36,3,1,97.22,2,,10.0,0,61,0,6.10,1,0,0,0,0,0,v Australia,Rajkot,2023-09-27,IND
11256,SA Yadav,8,7,7,1,0,114.28,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Australia,Rajkot,2023-09-27,IND
9157,Mohammed Siraj,1,17,8,0,0,12.50,2,,9.0,0,68,1,7.55,1,0,0,0,0,0,v Australia,Rajkot,2023-09-27,IND
3415,GJ Maxwell,5,8,7,0,0,71.42,1,,10.0,0,40,4,4.00,2,2,2,0,0,2,v India,Rajkot,2023-09-27,AUS
10471,RG Sharma,81,94,57,5,6,142.10,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Australia,Rajkot,2023-09-27,IND
2383,DA Warner,56,40,34,6,4,164.70,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Rajkot,2023-09-27,AUS
6428,Kuldeep Yadav,2,14,12,0,0,16.66,2,,6.0,0,48,2,8.00,1,0,0,0,0,0,v Australia,Rajkot,2023-09-27,IND
9790,Najmul Hossain Shanto,76,142,84,10,0,90.47,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
9893,Nasum Ahmed,7,32,19,1,0,36.84,1,,10.0,0,50,1,5.00,2,1,1,0,0,1,v New Zealand,Mirpur,2023-09-26,BAN
4159,Hasan Mahmud,1,2,2,0,0,50.00,1,,6.0,1,29,0,4.83,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
8253,Mahmudullah,21,35,27,2,0,77.77,1,,3.5,0,25,0,6.52,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
13385,Towhid Hridoy,18,17,17,3,0,105.88,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
9391,Mushfiqur Rahim,18,46,25,0,2,72.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
12364,Shoriful Islam,1,6,10,0,0,10.00,1,,6.0,1,32,2,5.33,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
1693,BM Duckett,107*,-,78,12,2,137.17,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
11008,Rehan Ahmed,DNB,-,-,-,-,-,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
10015,PD Salt,61,-,28,7,4,217.85,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
13724,WA Young,70,134,80,10,1,87.50,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Bangladesh,Mirpur,2023-09-26,NZ
12714,TA Boult,DNB,-,-,-,-,-,2,,6.0,0,33,2,5.50,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
6394,Khaled Ahmed,0*,4,2,0,0,0.00,1,,4.0,0,12,0,3.00,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
14016,Zakir Hasan,1,6,5,0,0,20.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
2003,CE McConchie,DNB,-,-,-,-,-,2,,5.0,0,18,2,3.60,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
3044,FH Allen,28,40,26,6,0,107.69,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Mirpur,2023-09-26,NZ
2194,D Foxcroft,0,1,1,0,0,0.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
13258,Tanzid Hasan,5,10,5,1,0,100.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
11563,SR Hain,17,-,18,0,0,94.44,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
13794,WG Jacks,39,-,21,3,3,185.71,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
1513,BA Carse,DNB,-,-,-,-,-,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
6638,L Wood,DNB,-,-,-,-,-,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
8200,Mahedi Hasan,13,16,14,2,0,92.85,1,,5.0,0,25,0,5.00,2,0,0,0,0,0,v New Zealand,Mirpur,2023-09-26,BAN
5342,JL Smith,DNB,-,-,-,-,-,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
4285,IS Sodhi,DNB,-,-,-,-,-,2,,6.0,0,40,0,6.66,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
10323,R Ravindra,DNB,-,-,-,-,-,2,,5.0,1,20,1,4.00,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
7556,MJ Potts,DNB,-,-,-,-,-,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
13999,Z Crawley,51,-,42,4,2,121.42,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
294,AF Milne,DNB,-,-,-,-,-,2,,6.3,0,34,4,5.23,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
3901,HM Nicholls,50*,114,86,4,1,58.13,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
6729,LH Ferguson,DNB,-,-,-,-,-,2,,6.0,0,26,1,4.33,1,0,0,0,0,0,v Bangladesh,Mirpur,2023-09-26,NZ
12986,TW Hartley,DNB,-,-,-,-,-,1,,TDNB,-,-,-,-,-,TDNF,-,-,-,-,v Ireland,Bristol,2023-09-26,ENG
12676,TA Blundell,23*,19,16,3,0,143.75,2,,DNB,-,-,-,-,1,3,2,1,2,0,v Bangladesh,Mirpur,2023-09-26,NZ
6105,KL Rahul,52,80,38,3,3,136.84,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
5616,JP Inglis,6,9,9,1,0,66.66,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
8183,MW Short,9,5,8,2,0,112.50,2,,2.0,0,15,0,7.50,1,1,1,0,0,1,v India,Indore,2023-09-24,AUS
11485,SPD Smith,0,1,1,0,0,0.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
11327,SH Johnson,0*,1,0,0,0,-,2,,8.0,0,61,0,7.62,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
7043,M Labuschagne,27,49,31,4,0,87.09,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
64,A Zampa,5,3,5,1,0,100.00,2,,10.0,0,67,1,6.70,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
11401,SN Thakur,DNB,-,-,-,-,-,1,,4.0,0,35,0,8.75,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
2379,DA Warner,53,65,39,7,1,135.89,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
752,AT Carey,14,17,12,2,0,116.66,2,,DNB,-,-,-,-,1,3,3,0,3,0,v India,Indore,2023-09-24,AUS
10437,RD Gaikwad,8,16,12,2,0,66.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
10288,R Ashwin,DNB,-,-,-,-,-,1,,7.0,0,41,3,5.85,2,1,1,0,0,1,v Australia,Indore,2023-09-24,IND
7110,M Prasidh Krishna,DNB,-,-,-,-,-,1,,6.0,0,56,2,9.33,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
5659,JR Hazlewood,23,30,16,2,2,143.75,2,,10.0,0,62,1,6.20,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
11254,SA Yadav,72*,48,37,6,6,194.59,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
4681,Ishan Kishan,31,30,18,2,2,172.22,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
10359,RA Jadeja,13*,19,9,1,0,144.44,1,,5.2,0,42,3,7.87,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
11232,SA Abbott,54,46,36,4,5,150.00,2,,10.0,0,91,1,9.10,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
9096,Mohammed Shami,DNB,-,-,-,-,-,1,,6.0,0,39,1,6.50,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
11579,SS Iyer,105,118,90,11,3,116.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Indore,2023-09-24,IND
12391,Shubman Gill,104,155,97,6,4,107.21,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Australia,Indore,2023-09-24,IND
1871,C Green,19,23,13,1,1,146.15,2,,10.0,0,103,2,10.30,1,0,0,0,0,0,v India,Indore,2023-09-24,AUS
