,player,runs,mins,bf,4s,6s,sr,inns_batting,unnamed:,overs,mdns,runs,wkts,econ,inns_batting,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country
6466,Kuldeep Yadav,DNB,-,-,-,-,-,2,,9.0,0,40,3,4.44,1,0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND
12416,Shubman Gill,46,75,52,7,0,88.46,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND
10534,RG Sharma,20,22,15,3,1,133.33,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND
4012,Haris Rauf,8,11,7,0,1,114.28,1,,7.0,0,52,0,7.42,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK
6398,Khushdil Shah,38,58,39,0,2,97.43,1,,7.3,0,43,1,5.73,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK
3385,GJ Maxwell,32*,36,15,4,2,213.33,2,,7.0,0,58,1,8.28,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
4994,JE Root,68,106,78,4,0,87.17,1,,4.0,0,26,0,6.50,2,0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG
9661,NT Ellis,DNB,-,-,-,-,-,2,,10.0,0,51,0,5.10,1,2,2,0,0,2,v England,Lahore,2025-02-22,AUS
5338,JL Smith,15,16,13,3,0,115.38,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG
1505,BA Carse,8,13,7,0,0,114.28,1,,7.0,0,69,1,9.85,2,0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG
4761,JC Archer,21*,10,10,2,1,210.00,1,,10.0,0,82,1,8.20,2,1,1,0,0,1,v Australia,Lahore,2025-02-22,ENG
11326,SH Johnson,DNB,-,-,-,-,-,2,,7.0,0,54,0,7.71,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
1683,BM Duckett,165,215,143,17,3,115.38,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Australia,Lahore,2025-02-22,ENG
844,AU Rashid,1*,2,1,0,0,100.00,1,,10.0,1,47,1,4.70,2,0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG
3629,HC Brook,3,16,6,0,0,50.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG
5613,JP Inglis,120*,134,86,8,6,139.53,2,,DNB,-,-,-,-,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
7029,M Labuschagne,47,65,45,5,0,104.44,2,,5.0,0,41,2,8.20,1,1,1,0,0,1,v England,Lahore,2025-02-22,AUS
734,AT Carey,69,85,63,8,0,109.52,2,,DNB,-,-,-,-,1,3,3,0,0,3,v England,Lahore,2025-02-22,AUS
4798,JC Buttler,23,28,21,1,1,109.52,1,,DNB,-,-,-,-,2,2,2,0,0,2,v Australia,Lahore,2025-02-22,ENG
7238,MA Wood,DNB,-,-,-,-,-,1,,9.3,0,75,1,7.89,2,0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG
11459,SPD Smith,5,5,6,1,0,83.33,2,,DNB,-,-,-,-,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
12924,TM Head,6,16,5,1,0,120.00,2,,DNB,-,-,-,-,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
43,A Zampa,DNB,-,-,-,-,-,2,,10.0,0,64,2,6.40,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
10003,PD Salt,10,8,6,1,1,166.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG
6869,LS Livingstone,14,26,17,0,1,82.35,1,,7.0,0,47,1,6.71,2,1,1,0,0,1,v Australia,Lahore,2025-02-22,ENG
8180,MW Short,63,101,66,9,1,95.45,2,,1.0,0,7,0,7.00,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
1665,BJ Dwarshuis,DNB,-,-,-,-,-,2,,10.0,0,66,3,6.60,1,0,0,0,0,0,v England,Lahore,2025-02-22,AUS
8792,Mohammad Nabi,8,22,17,0,0,47.05,2,,10.0,0,51,2,5.10,1,0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG
6524,L Ngidi,DNB,-,-,-,-,-,1,,8.0,0,56,2,7.00,2,0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA
6996,M Jansen,0,2,1,0,0,0.00,1,,8.0,1,32,1,4.00,2,0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA
1400,Azmatullah Omarzai,18,34,27,3,0,66.66,2,,6.0,0,39,1,6.50,1,1,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG
10443,RD Rickelton,103,154,106,7,1,97.16,1,,DNB,-,-,-,-,2,2,2,0,2,0,v Afghanistan,Karachi,2025-02-21,SA
10850,Rahmat Shah,90,147,92,9,1,97.82,2,,DNB,-,-,-,-,1,1,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG
2236,DA Miller,14,23,18,1,0,77.77,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA
9944,Noor Ahmad,9,23,15,1,0,60.00,2,,9.0,0,65,1,7.22,1,0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG
3652,HE van der Dussen,52,55,46,3,2,113.04,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA
3529,Gulbadin Naib,13,21,19,2,0,68.42,2,,7.0,0,42,0,6.00,1,0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG
12545,T Bavuma,58,98,76,5,0,76.31,1,,DNB,-,-,-,-,2,2,2,0,0,2,v Afghanistan,Karachi,2025-02-21,SA
