Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
Fazalhaq Farooqi (AFG),10.0,1,55,1,5.50,1,,v Sri Lanka,Pallekele,11 Feb 2024,
Qais Ahmad (AFG),7.0,0,55,1,7.85,1,,v Sri Lanka,Pallekele,11 Feb 2024,
BA Carse (ENG),10.0,0,55,1,5.50,1,,v Australia,Chester-le-Street,24 Sep 2024,
RJW Topley (ENG),9.0,0,55,1,6.11,2,,v West Indies,Bridgetown,6 Nov 2024,
Tanzim Hasan Sakib (BAN),10.0,1,55,1,5.50,2,,v West Indies,Basseterre,8 Dec 2024,
AL Phehlukwayo (SA),9.0,0,55,1,6.11,1,,v Pakistan,Cape Town,19 Dec 2024,
Rubel Hossain (BAN),10.0,0,56,1,5.60,1,,v India,Melbourne,19 Mar 2015,
Rahat Ali (PAK),10.0,0,56,1,5.60,1,,v Bangladesh,Mirpur,17 Apr 2015,
Shoaib Malik (PAK),9.0,0,56,1,6.22,2,,v England,Sharjah,17 Nov 2015,
MJ Santner (NZ),5.0,0,56,1,11.20,1,,v Pakistan,Auckland,31 Jan 2016,
WD Parnell (SA),8.0,0,56,1,7.00,1,,v Australia,Centurion,30 Sep 2016,
Rubel Hossain (BAN),10.0,0,56,1,5.60,1,,v New Zealand,Dublin,24 May 2017,
Mashrafe Mortaza (BAN),10.0,0,56,1,5.60,2,,v England,The Oval,1 Jun 2017,
TA Boult (NZ),10.0,0,56,1,5.60,1,,v England,Cardiff,6 Jun 2017,
B Kumar (IND),10.0,0,56,1,5.60,2,,v New Zealand,Wankhede,22 Oct 2017,
JJ Bumrah (IND),9.0,0,56,1,6.22,2,,v New Zealand,Wankhede,22 Oct 2017,
JJ Bumrah (IND),10.0,0,56,1,5.60,1,,v South Africa,Durban,1 Feb 2018,
Nazmul Islam (BAN),10.0,0,56,1,5.60,2,,v India,Dubai (DICS),28 Sep 2018,
YS Chahal (IND),10.0,1,56,1,5.60,1,,v West Indies,Pune,27 Oct 2018,
L Ngidi (SA),10.0,0,56,1,5.60,2,,v Australia,Hobart,11 Nov 2018,
PM Siddle (AUS),9.0,1,56,1,6.22,2,,v India,Melbourne,18 Jan 2019,
CR Woakes (ENG),6.0,0,56,1,9.33,2,,v West Indies,Gros Islet,2 Mar 2019,
JC Archer (ENG),9.0,0,56,1,6.22,1,,v Australia,Lord's,25 Jun 2019,
Sayed Shirzad (AFG),8.0,0,56,1,7.00,1,,v West Indies,Leeds,4 Jul 2019,
Mohammad Nabi (AFG),10.0,0,56,1,5.60,1,,v West Indies,Leeds,4 Jul 2019,
Mehidy Hasan Miraz (BAN),9.0,0,56,1,6.22,1,,v Sri Lanka,Colombo (RPS),26 Jul 2019,
AC Agar (AUS),10.0,1,56,1,5.60,1,,v India,Wankhede,14 Jan 2020,
PJ Cummins (AUS),10.0,3,56,1,5.60,1,,v England,Manchester,13 Sep 2020,
Shoriful Islam (BAN),8.0,0,56,1,7.00,1,,v Sri Lanka,Mirpur,28 May 2021,
Mehidy Hasan Miraz (BAN),10.0,0,56,1,5.60,2,,v South Africa,Johannesburg,20 Mar 2022,
LH Ferguson (NZ),10.0,0,56,1,5.60,1,,v Australia,Cairns,11 Sep 2022,
MJ Santner (NZ),10.0,0,56,1,5.60,1,,v India,Hyderabad,18 Jan 2023,
Shadab Khan (PAK),10.0,0,56,1,5.60,1,,v New Zealand,Rawalpindi,27 Apr 2023,
Ebadot Hossain (BAN),9.0,1,56,1,6.22,1,,v Ireland,Chelmsford,12 May 2023,
SA Abbott (AUS),9.4,1,56,1,5.79,2,,v India,Mohali,22 Sep 2023,
Kuldeep Yadav (IND),10.0,0,56,1,5.60,2,,v New Zealand,Wankhede,15 Nov 2023,
Mukesh Kumar (IND),9.0,0,56,1,6.22,2,,v South Africa,Paarl,21 Dec 2023,
A Zampa (AUS),10.0,0,56,1,5.60,1,,v West Indies,Melbourne,2 Feb 2024,
LS Livingstone (ENG),7.0,0,56,1,8.00,1,,v West Indies,North Sound,2 Nov 2024,
Mehidy Hasan Miraz (BAN),10.0,0,56,1,5.60,2,,v Afghanistan,Sharjah,11 Nov 2024,
Nasum Ahmed (BAN),7.0,0,56,1,8.00,2,,v West Indies,Basseterre,12 Dec 2024,
Sohail Khan (PAK),7.5,0,57,1,7.27,2,,v Australia,Adelaide,20 Mar 2015,
Rahat Ali (PAK),7.0,0,57,1,8.14,2,,v Bangladesh,Mirpur,19 Apr 2015,
Yasir Shah (PAK),10.0,0,57,1,5.70,1,,v England,Dubai (DICS),20 Nov 2015,
MA Wood (ENG),10.0,0,57,1,5.70,1,,v Pakistan,Southampton,24 Aug 2016,
Imran Tahir (SA),10.0,0,57,1,5.70,2,,v Sri Lanka,Centurion,10 Feb 2017,
Mohammad Amir (PAK),9.0,2,57,1,6.33,1,,v New Zealand,Wellington,6 Jan 2018,
MA Wood (ENG),9.0,1,57,1,6.33,2,,v Australia,Cardiff,16 Jun 2018,
CJ Dala (SA),9.0,0,57,1,6.33,1,,v Sri Lanka,Colombo (RPS),12 Aug 2018,
NM Lyon (AUS),10.0,0,57,1,5.70,2,,v India,Ranchi,8 Mar 2019,
A Zampa (AUS),10.0,0,57,1,5.70,1,,v India,Mohali,10 Mar 2019,
GJ Maxwell (AUS),10.0,0,57,1,5.70,1,,v Pakistan,Sharjah,22 Mar 2019,
A Zampa (AUS),10.0,0,57,1,5.70,1,,v Pakistan,Sharjah,24 Mar 2019,
Junaid Khan (PAK),8.0,0,57,1,7.12,2,,v England,Bristol,14 May 2019,
Hasan Ali (PAK),9.3,0,57,1,6.00,2,,v England,Nottingham,17 May 2019,
Sharafuddin Ashraf (AFG),10.0,0,57,1,5.70,2,,v West Indies,Lucknow,11 Nov 2019,
Mohammed Shami (IND),9.0,1,57,1,6.33,2,,v West Indies,Chennai,15 Dec 2019,
Kuldeep Yadav (IND),10.0,0,57,1,5.70,2,,v Australia,Canberra,2 Dec 2020,
K Rabada (SA),10.0,0,57,1,5.70,1,,v Bangladesh,Centurion,18 Mar 2022,
Khushdil Shah (PAK),6.0,0,57,1,9.50,1,,v Australia,Lahore,31 Mar 2022,
JR Hazlewood (AUS),9.3,0,57,1,6.00,2,,v Sri Lanka,Colombo (RPS),19 Jun 2022,
Mustafizur Rahman (BAN),9.0,0,57,1,6.33,2,,v Zimbabwe,Harare,5 Aug 2022,
Shoriful Islam (BAN),8.4,0,57,1,6.57,2,,v Zimbabwe,Harare,5 Aug 2022,
TG Southee (NZ),10.0,1,57,1,5.70,1,,v Australia,Cairns,11 Sep 2022,
BG Lister (NZ),10.0,0,57,1,5.70,1,,v Pakistan,Karachi,5 May 2023,
GD Phillips (NZ),8.0,0,57,1,7.12,1,,v England,The Oval,13 Sep 2023,
G Coetzee (SA),8.0,0,57,1,7.12,1,,v Netherlands,Dharamsala,17 Oct 2023,
Mujeeb Ur Rahman (AFG),10.0,0,57,1,5.70,1,,v New Zealand,Chennai,18 Oct 2023,
MJ Henry (NZ),9.0,0,57,1,6.33,1,,v Bangladesh,Rawalpindi,24 Feb 2025,
Mohammad Nabi (AFG),9.0,0,58,1,6.44,1,,v Bangladesh,Canberra,18 Feb 2015,
Shakib Al Hasan (BAN),10.0,0,58,1,5.80,1,,v India,Melbourne,19 Mar 2015,
RJW Topley (ENG),7.0,0,58,1,8.28,2,,v Pakistan,Dubai (DICS),20 Nov 2015,
Dawlat Zadran (AFG),10.0,0,58,1,5.80,1,,v Bangladesh,Mirpur,1 Oct 2016,
AL Phehlukwayo (SA),8.0,0,58,1,7.25,1,,v Australia,Durban,5 Oct 2016,
Junaid Khan (PAK),9.0,0,58,1,6.44,2,,v Australia,W.A.C.A,19 Jan 2017,
Mashrafe Mortaza (BAN),6.3,0,58,1,8.92,2,,v New Zealand,Dublin,17 May 2017,
AF Milne (NZ),9.2,0,58,1,6.21,2,,v Bangladesh,Cardiff,9 Jun 2017,
HH Pandya (IND),10.0,0,58,1,5.80,1,,v Australia,Indore,24 Sep 2017,
NM Coulter-Nile (AUS),10.0,0,58,1,5.80,2,,v India,Indore,24 Sep 2017,
Faheem Ashraf (PAK),9.0,0,58,1,6.44,1,,v New Zealand,Wellington,6 Jan 2018,
MA Wood (ENG),9.0,0,58,1,6.44,2,,v Australia,Adelaide,26 Jan 2018,
K Rabada (SA),9.0,0,58,1,6.44,1,,v India,Gqeberha,13 Feb 2018,
Junaid Khan (PAK),9.0,0,58,1,6.44,1,,v Australia,Abu Dhabi,27 Mar 2019,
Imad Wasim (PAK),7.0,0,58,1,8.28,2,,v England,Bristol,14 May 2019,
A Zampa (AUS),10.0,0,58,1,5.80,2,,v West Indies,Nottingham,6 Jun 2019,
Kuldeep Yadav (IND),10.0,0,58,1,5.80,1,,v Sri Lanka,Leeds,6 Jul 2019,
T Shamsi (SA),10.0,0,58,1,5.80,2,,v England,Johannesburg,9 Feb 2020,
K Rabada (SA),10.0,0,58,1,5.80,1,,v Ireland,Dublin (Malahide),13 Jul 2021,
MJ Swepson (AUS),10.0,0,58,1,5.80,1,,v Sri Lanka,Pallekele,16 Jun 2022,
YS Chahal (IND),10.0,0,58,1,5.80,2,,v Sri Lanka,Guwahati,10 Jan 2023,
Taijul Islam (BAN),10.0,0,58,1,5.80,1,,v England,Mirpur,3 Mar 2023,
HB Shipley (NZ),10.0,0,58,1,5.80,2,,v Pakistan,Rawalpindi,29 Apr 2023,
Gulbadin Naib (AFG),8.0,0,58,1,7.25,1,,v Bangladesh,Lahore,3 Sep 2023,
MP Stoinis (AUS),10.0,0,58,1,5.80,1,,v South Africa,Potchefstroom,12 Sep 2023,
Shaheen Shah Afridi (PAK),10.0,0,58,1,5.80,2,,v Afghanistan,Chennai,23 Oct 2023,
A Zampa (AUS),10.0,0,58,1,5.80,1,,v Afghanistan,Wankhede,7 Nov 2023,
Mehidy Hasan Miraz (BAN),10.0,0,58,1,5.80,2,,v Sri Lanka,Chattogram,15 Mar 2024,
GJ Maxwell (AUS),7.0,0,58,1,8.28,1,,v England,Lahore,22 Feb 2025,
Rishad Hossain (BAN),9.1,0,58,1,6.32,2,,v New Zealand,Rawalpindi,24 Feb 2025,
IS Sodhi (NZ),10.0,0,59,1,5.90,1,,v South Africa,Potchefstroom,23 Aug 2015,
AU Rashid (ENG),10.0,0,59,1,5.90,2,,v South Africa,Cape Town,14 Feb 2016,
Rahmat Shah (AFG),8.0,0,59,1,7.37,1,,v Bangladesh,Mirpur,1 Oct 2016,
DS Kulkarni (IND),7.0,0,59,1,8.42,1,,v New Zealand,Ranchi,26 Oct 2016,
MA Starc (AUS),10.0,0,59,1,5.90,1,,v New Zealand,Auckland,30 Jan 2017,
MM Ali (ENG),8.0,0,59,1,7.37,2,,v South Africa,Southampton,27 May 2017,
PJ Cummins (AUS),10.0,0,59,1,5.90,2,,v India,Bengaluru,28 Sep 2017,
Rumman Raees (PAK),9.0,0,59,1,6.55,2,,v New Zealand,Hamilton,16 Jan 2018,
Mohammed Shami (IND),10.0,0,59,1,5.90,2,,v West Indies,Visakhapatnam,24 Oct 2018,
JA Richardson (AUS),10.0,0,59,1,5.90,2,,v India,Adelaide,15 Jan 2019,
JP Behrendorff (AUS),9.0,0,59,1,6.55,2,,v Sri Lanka,The Oval,15 Jun 2019,
MA Wood (ENG),9.0,0,59,1,6.55,1,,v Australia,Lord's,25 Jun 2019,
Imran Tahir (SA),9.0,0,59,1,6.55,2,,v Australia,Manchester,6 Jul 2019,
PJ Cummins (AUS),10.0,1,59,1,5.90,2,,v South Africa,Bloemfontein,4 Mar 2020,
CR Woakes (ENG),10.0,0,59,1,5.90,1,,v Australia,Manchester,11 Sep 2020,
KH Pandya (IND),10.0,0,59,1,5.90,2,,v England,Pune,23 Mar 2021,
Fazalhaq Farooqi (AFG),10.0,1,59,1,5.90,1,,v Bangladesh,Chattogram,25 Feb 2022,
Mehidy Hasan Miraz (BAN),10.0,0,59,1,5.90,2,,v Zimbabwe,Harare,5 Aug 2022,
K Rabada (SA),10.0,1,59,1,5.90,2,,v India,Ranchi,9 Oct 2022,
MJ Henry (NZ),9.2,1,59,1,6.32,2,,v Pakistan,Rawalpindi,29 Apr 2023,
Taijul Islam (BAN),7.0,0,59,1,8.42,1,,v Ireland,Chelmsford,12 May 2023,
MG Neser (AUS),10.0,0,59,1,5.90,1,,v South Africa,Centurion,15 Sep 2023,
C Green (AUS),10.0,0,59,1,5.90,1,,v South Africa,Johannesburg,17 Sep 2023,
PJ Cummins (AUS),8.0,0,59,1,7.37,2,,v India,Rajkot,27 Sep 2023,
SN Thakur (IND),9.0,0,59,1,6.55,1,,v Bangladesh,Pune,19 Oct 2023,
Fazalhaq Farooqi (AFG),8.0,0,59,1,7.37,1,,v South Africa,Karachi,21 Feb 2025,
Mashrafe Mortaza (BAN),8.0,0,60,1,7.50,1,,v Scotland,Nelson,5 Mar 2015,
DS Kulkarni (IND),9.0,0,60,1,6.66,2,,v Zimbabwe,Harare,10 Jul 2015,
I Sharma (IND),10.0,0,60,1,6.00,2,,v Australia,Brisbane,15 Jan 2016,
Mohammad Irfan (PAK),8.0,0,60,1,7.50,2,,v New Zealand,Auckland,31 Jan 2016,
UT Yadav (IND),10.0,1,60,1,6.00,1,,v New Zealand,Ranchi,26 Oct 2016,
JP Faulkner (AUS),9.0,0,60,1,6.66,2,,v Pakistan,Adelaide,26 Jan 2017,
TG Southee (NZ),10.0,0,60,1,6.00,2,,v South Africa,Christchurch,22 Feb 2017,
Mustafizur Rahman (BAN),8.0,0,60,1,7.50,1,,v Sri Lanka,Dambulla,28 Mar 2017,
Rubel Hossain (BAN),10.0,0,60,1,6.00,1,,v New Zealand,Cardiff,9 Jun 2017,
TG Southee (NZ),9.0,1,60,1,6.66,2,,v India,Pune,25 Oct 2017,
CH Morris (SA),10.0,0,60,1,6.00,1,,v India,Johannesburg,10 Feb 2018,
MP Stoinis (AUS),10.0,0,60,1,6.00,1,,v England,Cardiff,16 Jun 2018,
MM Ali (ENG),8.1,0,60,1,7.34,2,,v India,Nottingham,12 Jul 2018,
MP Stoinis (AUS),9.2,0,60,1,6.42,2,,v India,Melbourne,18 Jan 2019,
Samiullah Shinwari (AFG),10.0,0,60,1,6.00,2,,v Ireland,Dehradun,5 Mar 2019,
Yasir Shah (PAK),10.0,1,60,1,6.00,2,,v Australia,Sharjah,24 Mar 2019,
Yasir Shah (PAK),7.0,0,60,1,8.57,1,,v England,Southampton,11 May 2019,
Mohammad Hafeez (PAK),7.0,0,60,1,8.57,1,,v Australia,Taunton,12 Jun 2019,
JC Archer (ENG),9.0,0,60,1,6.66,2,,v Australia,Manchester,16 Sep 2020,
T Shamsi (SA),7.0,0,60,1,8.57,2,,v Pakistan,Johannesburg,4 Apr 2021,
Washington Sundar (IND),9.0,0,60,1,6.66,1,,v South Africa,Ranchi,9 Oct 2022,
SM Curran (ENG),10.0,1,60,1,6.00,2,,v South Africa,Bloemfontein,29 Jan 2023,
IS Sodhi (NZ),10.0,0,60,1,6.00,2,,v Pakistan,Karachi,7 May 2023,
Mujeeb Ur Rahman (AFG),10.0,0,60,1,6.00,1,,v Sri Lanka,Lahore,5 Sep 2023,
JR Hazlewood (AUS),9.0,0,60,1,6.66,1,,v South Africa,Lucknow,12 Oct 2023,
TA Boult (NZ),10.0,0,60,1,6.00,2,,v India,Dharamsala,22 Oct 2023,
AM Hardie (AUS),9.0,0,60,1,6.66,1,,v Sri Lanka,Colombo (RPS),14 Feb 2025,
Junaid Khan (PAK),9.0,0,61,1,6.77,2,,v Bangladesh,Mirpur,19 Apr 2015,
Mohammad Irfan (PAK),10.0,0,61,1,6.10,2,,v Sri Lanka,Pallekele,15 Jul 2015,
LE Plunkett (ENG),9.0,0,61,1,6.77,1,,v Pakistan,Leeds,1 Sep 2016,
MR Marsh (AUS),10.0,0,61,1,6.10,2,,v South Africa,Durban,5 Oct 2016,
MJ Santner (NZ),10.0,0,61,1,6.10,2,,v Bangladesh,Christchurch,26 Dec 2016,
A Zampa (AUS),9.0,0,61,1,6.77,2,,v Pakistan,Adelaide,26 Jan 2017,
Imran Tahir (SA),10.0,0,61,1,6.10,1,,v New Zealand,Christchurch,22 Feb 2017,
D Pretorius (SA),10.0,0,61,1,6.10,1,,v England,Southampton,27 May 2017,
BA Stokes (ENG),8.0,0,61,1,7.62,1,,v Australia,Birmingham,10 Jun 2017,
Gulbadin Naib (AFG),10.0,0,61,1,6.10,2,,v Pakistan,Abu Dhabi,21 Sep 2018,
Rubel Hossain (BAN),10.0,0,61,1,6.10,1,,v West Indies,Mirpur,9 Dec 2018,
TA Boult (NZ),10.0,1,61,1,6.10,2,,v Sri Lanka,Mount Maunganui,5 Jan 2019,
KW Richardson (AUS),10.0,0,61,1,6.10,2,,v Pakistan,Dubai (DICS),31 Mar 2019,
AU Rashid (ENG),10.0,1,61,1,6.10,2,,v Ireland,Southampton,4 Aug 2020,
Mohammad Nawaz (3) (PAK),10.0,0,61,1,6.10,1,,v West Indies,Multan,8 Jun 2022,
Usama Mir (PAK),10.0,0,61,1,6.10,2,,v New Zealand,Karachi,13 Jan 2023,
Ebadot Hossain (BAN),9.2,0,61,1,6.53,1,,v Afghanistan,Chattogram,8 Jul 2023,
Usama Mir (PAK),10.0,0,61,1,6.10,1,,v Afghanistan,Hambantota,24 Aug 2023,
Hasan Mahmud (BAN),9.0,1,61,1,6.77,2,,v Afghanistan,Lahore,3 Sep 2023,
T Sangha (AUS),10.0,0,61,1,6.10,2,,v India,Rajkot,27 Sep 2023,
Taskin Ahmed (BAN),10.0,0,61,1,6.10,2,,v Australia,Pune,11 Nov 2023,
Noor Ahmad (AFG),10.0,0,61,1,6.10,2,,v Ireland,Sharjah,7 Mar 2024,
Rubel Hossain (BAN),9.0,0,62,1,6.88,1,,v Sri Lanka,Melbourne,26 Feb 2015,
Mohammad Nawaz (3) (PAK),10.0,0,62,1,6.20,1,,v England,Nottingham,30 Aug 2016,
Naveen-ul-Haq (AFG),10.0,0,62,1,6.20,1,,v Bangladesh,Mirpur,25 Sep 2016,
Rubel Hossain (BAN),9.0,0,62,1,6.88,2,,v Afghanistan,Mirpur,25 Sep 2016,
Imad Wasim (PAK),10.0,0,62,1,6.20,2,,v West Indies,Sharjah,2 Oct 2016,
Hasan Ali (PAK),10.0,0,62,1,6.20,2,,v Australia,W.A.C.A,19 Jan 2017,
Wahab Riaz (PAK),10.0,0,62,1,6.20,1,,v Australia,Adelaide,26 Jan 2017,
TK Curran (ENG),10.0,1,62,1,6.20,1,,v West Indies,Southampton,29 Sep 2017,
AU Rashid (ENG),10.0,0,62,1,6.20,2,,v India,Nottingham,12 Jul 2018,
BA Stokes (ENG),10.0,1,62,1,6.20,1,,v West Indies,Bridgetown,22 Feb 2019,
JC Archer (ENG),10.0,0,62,1,6.20,1,,v Pakistan,Nottingham,17 May 2019,
Kuldeep Yadav (IND),10.0,0,62,1,6.20,1,,v Australia,Bengaluru,19 Jan 2020,
RA Jadeja (IND),10.0,0,62,1,6.20,2,,v Australia,Canberra,2 Dec 2020,
Faheem Ashraf (PAK),9.0,0,62,1,6.88,1,,v South Africa,Johannesburg,4 Apr 2021,
LB Williams (SA),8.0,0,62,1,7.75,2,,v Ireland,Dublin (Malahide),16 Jul 2021,
MJ Henry (NZ),10.0,1,62,1,6.20,1,,v Ireland,Dublin (Malahide),10 Jul 2022,
BM Tickner (NZ),10.0,1,62,1,6.20,1,,v Scotland,Edinburgh,31 Jul 2022,
Rehan Ahmed (ENG),10.0,0,62,1,6.20,1,,v Bangladesh,Chattogram,6 Mar 2023,
Mujeeb Ur Rahman (AFG),10.0,0,62,1,6.20,1,,v Bangladesh,Lahore,3 Sep 2023,
JR Hazlewood (AUS),10.0,0,62,1,6.20,1,,v India,Indore,24 Sep 2023,
Mohammad Nawaz (3) (PAK),9.0,0,62,1,6.88,1,,v Sri Lanka,Hyderabad,10 Oct 2023,
GJ Maxwell (AUS),10.0,0,62,1,6.20,2,,v New Zealand,Dharamsala,28 Oct 2023,
IS Sodhi (NZ),10.0,0,62,1,6.20,1,,v Sri Lanka,Dambulla,13 Nov 2024,
Mehidy Hasan Miraz (BAN),9.0,0,62,1,6.88,2,,v West Indies,Basseterre,8 Dec 2024,
NG Smith (NZ),8.0,0,62,1,7.75,1,,v Sri Lanka,Auckland,11 Jan 2025,
Harshit Rana (IND),9.0,0,62,1,6.88,1,,v England,Cuttack,9 Feb 2025,
Mustafizur Rahman (BAN),9.0,0,62,1,6.88,2,,v India,Dubai (DICS),20 Feb 2025,
JP Faulkner (AUS),10.0,0,63,1,6.30,1,,v India,Melbourne,17 Jan 2016,
M Morkel (SA),10.0,0,63,1,6.30,1,,v England,Centurion,9 Feb 2016,
WD Parnell (SA),9.5,0,63,1,6.40,1,,v West Indies,Bridgetown,24 Jun 2016,
Yamin Ahmadzai (AFG),8.0,0,63,1,7.87,1,,v Ireland,Belfast,19 Jul 2016,
UT Yadav (IND),7.0,0,63,1,9.00,1,,v England,Pune,15 Jan 2017,
B Kumar (IND),10.0,1,63,1,6.30,2,,v England,Cuttack,19 Jan 2017,
TG Southee (NZ),10.0,0,63,1,6.30,2,,v Australia,Auckland,30 Jan 2017,
IS Sodhi (NZ),10.0,0,63,1,6.30,2,,v South Africa,Christchurch,22 Feb 2017,
K Rabada (SA),9.0,0,63,1,7.00,1,,v England,Leeds,24 May 2017,
A Zampa (AUS),9.0,0,63,1,7.00,2,,v India,Bengaluru,28 Sep 2017,
MA Starc (AUS),9.0,0,63,1,7.00,1,,v England,Perth,28 Jan 2018,
UT Yadav (IND),10.0,0,63,1,6.30,1,,v England,Lord's,14 Jul 2018,
Mustafizur Rahman (BAN),10.0,0,63,1,6.30,2,,v West Indies,Basseterre,28 Jul 2018,
YS Chahal (IND),10.0,0,63,1,6.30,2,,v West Indies,Visakhapatnam,24 Oct 2018,
MM Ali (ENG),10.0,0,63,1,6.30,2,,v South Africa,The Oval,30 May 2019,
NM Coulter-Nile (AUS),10.0,1,63,1,6.30,1,,v India,The Oval,9 Jun 2019,
TA Boult (NZ),10.0,0,63,1,6.30,1,,v South Africa,Birmingham,19 Jun 2019,
CH Morris (SA),9.0,0,63,1,7.00,2,,v Australia,Manchester,6 Jul 2019,
YS Chahal (IND),10.0,0,63,1,6.30,1,,v New Zealand,Manchester,9 Jul 2019,
Mohammed Shami (IND),9.1,0,63,1,6.87,2,,v New Zealand,Hamilton,5 Feb 2020,
JR Hazlewood (AUS),10.0,0,63,1,6.30,1,,v South Africa,Paarl,29 Feb 2020,
KW Richardson (AUS),9.0,0,63,1,7.00,2,,v South Africa,Potchefstroom,7 Mar 2020,
B Kumar (IND),10.0,0,63,1,6.30,2,,v England,Pune,26 Mar 2021,
AL Phehlukwayo (SA),10.0,1,63,1,6.30,1,,v Bangladesh,Centurion,18 Mar 2022,
SN Thakur (IND),9.0,1,63,1,7.00,2,,v New Zealand,Auckland,25 Nov 2022,
M Jansen (SA),9.0,0,63,1,7.00,1,,v Australia,Bloemfontein,9 Sep 2023,
L Ngidi (SA),8.2,0,63,1,7.56,1,,v India,Eden Gardens,5 Nov 2023,
A Ashok (NZ),10.0,1,63,1,6.30,1,,v Bangladesh,Nelson,20 Dec 2023,
MJ Santner (NZ),8.0,0,64,1,8.00,1,,v England,Birmingham,9 Jun 2015,
SM Boland (AUS),10.0,0,64,1,6.40,1,,v India,Brisbane,15 Jan 2016,
D Wiese (SA),10.0,0,64,1,6.40,1,,v England,Centurion,9 Feb 2016,
Mohammad Nabi (AFG),9.0,0,64,1,7.11,2,,v Ireland,Greater Noida,19 Mar 2017,
Kuldeep Yadav (IND),10.0,0,64,1,6.40,2,,v New Zealand,Wankhede,22 Oct 2017,
KK Ahmed (IND),10.0,0,64,1,6.40,1,,v West Indies,Guwahati,21 Oct 2018,
Rubel Hossain (BAN),9.0,0,64,1,7.11,1,,v New Zealand,Dunedin,20 Feb 2019,
Kuldeep Yadav (IND),10.0,0,64,1,6.40,2,,v Australia,Mohali,10 Mar 2019,
JA Richardson (AUS),8.0,1,64,1,8.00,1,,v Pakistan,Sharjah,22 Mar 2019,
NM Lyon (AUS),10.0,0,64,1,6.40,1,,v Pakistan,Sharjah,24 Mar 2019,
AU Rashid (ENG),10.0,0,64,1,6.40,2,,v Bangladesh,Cardiff,8 Jun 2019,
Dawlat Zadran (AFG),9.0,0,64,1,7.11,1,,v Bangladesh,Southampton,24 Jun 2019,
Gulbadin Naib (AFG),9.0,0,64,1,7.11,1,,v Ireland,Abu Dhabi,24 Jan 2021,
SSB Magala (SA),8.0,0,64,1,8.00,1,,v India,Paarl,21 Jan 2022,
JA Richardson (AUS),8.0,0,64,1,8.00,1,,v Sri Lanka,Pallekele,14 Jun 2022,
Shakib Al Hasan (BAN),10.0,0,64,1,6.40,1,,v England,Mirpur,3 Mar 2023,
T Sangha (AUS),8.0,0,64,1,8.00,1,,v South Africa,Potchefstroom,12 Sep 2023,
JJ Bumrah (IND),10.0,1,64,1,6.40,2,,v New Zealand,Wankhede,15 Nov 2023,
DJ Willey (ENG),10.0,0,65,1,6.50,1,,v Sri Lanka,Birmingham,24 Jun 2016,
CP Tremain (AUS),10.0,0,65,1,6.50,2,,v South Africa,Durban,5 Oct 2016,
LE Plunkett (ENG),10.0,0,65,1,6.50,2,,v India,Eden Gardens,22 Jan 2017,
Washington Sundar (IND),10.0,0,65,1,6.50,2,,v Sri Lanka,Mohali,13 Dec 2017,
CR Woakes (ENG),10.0,0,65,1,6.50,1,,v Australia,Melbourne,14 Jan 2018,
Aamer Yamin (PAK),9.0,0,65,1,7.22,1,,v New Zealand,Wellington,19 Jan 2018,
TK Curran (ENG),10.0,0,65,1,6.50,2,,v New Zealand,Hamilton,25 Feb 2018,
MA Wood (ENG),8.0,0,65,1,8.12,2,,v New Zealand,Dunedin,7 Mar 2018,
KK Ahmed (IND),10.0,0,65,1,6.50,1,,v West Indies,Pune,27 Oct 2018,
MJ Santner (NZ),10.0,0,65,1,6.50,1,,v England,Chester-le-Street,3 Jul 2019,
NA Saini (IND),10.0,0,65,1,6.50,1,,v Australia,Bengaluru,19 Jan 2020,
Wahab Riaz (PAK),10.0,0,65,1,6.50,1,,v Zimbabwe,Rawalpindi,3 Nov 2020,
MA Starc (AUS),9.0,0,65,1,7.22,2,,v India,Sydney,27 Nov 2020,
AU Rashid (ENG),10.0,0,65,1,6.50,1,,v India,Pune,26 Mar 2021,
LA Dawson (ENG),10.0,0,65,1,6.50,2,,v Australia,Adelaide,17 Nov 2022,
Hasan Mahmud (BAN),8.0,0,65,1,8.12,2,,v India,Pune,19 Oct 2023,
MA Starc (AUS),8.0,0,65,1,8.12,2,,v Pakistan,Bengaluru,20 Oct 2023,
Tanzim Hasan Sakib (BAN),10.0,0,65,1,6.50,2,,v Sri Lanka,Chattogram,15 Mar 2024,
Naseem Shah (PAK),10.0,0,65,1,6.50,1,,v Australia,Adelaide,8 Nov 2024,
AAP Atkinson (ENG),7.0,0,65,1,9.28,2,,v India,Cuttack,9 Feb 2025,
Noor Ahmad (AFG),9.0,0,65,1,7.22,1,,v South Africa,Karachi,21 Feb 2025,
TA Boult (NZ),9.3,0,66,1,6.94,2,,v Australia,Wellington,6 Feb 2016,
K Rabada (SA),8.0,0,66,1,8.25,1,,v Australia,Basseterre,11 Jun 2016,
TG Southee (NZ),10.0,0,66,1,6.60,1,,v South Africa,Wellington,25 Feb 2017,
A Zampa (AUS),10.0,0,66,1,6.60,1,,v India,Chennai,17 Sep 2017,
MM Ali (ENG),10.0,0,66,1,6.60,2,,v Pakistan,Southampton,11 May 2019,
PJ Cummins (AUS),9.0,0,66,1,7.33,1,,v South Africa,Manchester,6 Jul 2019,
SN Thakur (IND),10.0,0,66,1,6.60,1,,v West Indies,Cuttack,22 Dec 2019,
