Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
Usman Shinwari (PAK),7.0,0,34,5,4.85,1,,v Sri Lanka,Sharjah,23 Oct 2017,
TK Curran (ENG),9.2,0,35,5,3.75,2,,v Australia,Perth,28 Jan 2018,
Taskin Ahmed (BAN),9.0,0,35,5,3.88,1,,v South Africa,Centurion,23 Mar 2022,
A Zampa (AUS),9.0,0,35,5,3.88,2,,v New Zealand,Cairns,8 Sep 2022,
Shakib Al Hasan (BAN),10.0,2,36,5,3.60,1,,v India,Mirpur,4 Dec 2022,
Arshdeep Singh (IND),10.0,0,37,5,3.70,1,,v South Africa,Johannesburg,17 Dec 2023,
Hasan Ali (PAK),8.5,1,38,5,4.30,2,,v West Indies,Providence,9 Apr 2017,
K Rabada (SA),10.0,0,39,5,3.90,1,,v Bangladesh,Johannesburg,20 Mar 2022,
M Jansen (SA),8.0,1,39,5,4.87,2,,v Australia,Johannesburg,17 Sep 2023,
MJ Henry (NZ),10.0,1,40,5,4.00,2,,v Sri Lanka,Mount Maunganui,5 Jan 2016,
Iftikhar Ahmed (PAK),10.0,2,40,5,4.00,1,,v Zimbabwe,Rawalpindi,1 Nov 2020,
Rashid Khan (AFG),9.0,0,41,5,4.55,1,,v U.A.E.,Harare,20 Mar 2018,
B Kumar (IND),9.4,0,42,5,4.34,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,
SSB Magala (SA),9.0,2,43,5,4.77,2,,v Netherlands,Johannesburg,2 Apr 2023,
JP Behrendorff (AUS),10.0,0,44,5,4.40,2,,v England,Lord's,25 Jun 2019,
Imran Tahir (SA),10.0,2,45,5,4.50,2,,v West Indies,Sydney,27 Feb 2015,
LH Ferguson (NZ),10.0,0,45,5,4.50,1,,v Pakistan,Dubai (DICS),11 Nov 2018,
AJ Tye (AUS),9.4,0,46,5,4.75,1,,v England,Perth,28 Jan 2018,
MA Starc (AUS),10.0,1,46,5,4.60,2,,v West Indies,Nottingham,6 Jun 2019,
Shakib Al Hasan (BAN),10.0,0,47,5,4.70,2,,v Zimbabwe,Mirpur,7 Nov 2015,
SM Curran (ENG),10.0,1,48,5,4.80,1,,v Sri Lanka,The Oval,1 Jul 2021,
MA Starc (AUS),8.0,1,48,5,6.00,2,,v West Indies,Bridgetown,20 Jul 2021,
Shaheen Shah Afridi (PAK),10.0,0,49,5,4.90,2,,v Zimbabwe,Rawalpindi,30 Oct 2020,
T Shamsi (SA),7.4,0,49,5,6.39,2,,v Sri Lanka,Colombo (RPS),4 Sep 2021,
Mustafizur Rahman (BAN),9.2,1,50,5,5.35,2,,v India,Mirpur,18 Jun 2015,
JR Hazlewood (AUS),9.4,1,50,5,5.17,2,,v West Indies,Bridgetown,26 Jun 2016,
MJ Santner (NZ),10.0,0,50,5,5.00,2,,v Ireland,Dublin (Malahide),14 May 2017,
Mujeeb Ur Rahman (AFG),10.0,0,50,5,5.00,1,,v Zimbabwe,Sharjah,16 Feb 2018,
JT Ball (ENG),9.5,0,51,5,5.18,2,,v Bangladesh,Mirpur,7 Oct 2016,
Usman Shinwari (PAK),10.0,1,51,5,5.10,2,,v Sri Lanka,Karachi,30 Sep 2019,
Hasan Ali (PAK),9.2,0,51,5,5.46,1,,v England,Lord's,10 Jul 2021,
TA Boult (NZ),9.1,0,51,5,5.56,1,,v England,The Oval,13 Sep 2023,
Mohammed Shami (IND),10.0,1,51,5,5.10,1,,v Australia,Mohali,22 Sep 2023,
Hasan Ali (PAK),10.0,1,52,5,5.20,1,,v Australia,Sydney,22 Jan 2017,
LE Plunkett (ENG),8.1,0,52,5,6.36,2,,v West Indies,Bristol,24 Sep 2017,
MA Starc (AUS),8.0,1,53,5,6.62,1,,v India,Visakhapatnam,19 Mar 2023,
Mohammed Shami (IND),10.0,0,53,5,5.30,1,,v Bangladesh,Dubai (DICS),20 Feb 2025,
CR Woakes (ENG),10.0,2,54,5,5.40,2,,v Pakistan,Leeds,19 May 2019,
Shaheen Shah Afridi (PAK),10.0,1,54,5,5.40,1,,v Australia,Bengaluru,20 Oct 2023,
Mohammed Shami (IND),10.0,0,54,5,5.40,1,,v New Zealand,Dharamsala,22 Oct 2023,
Naseem Shah (PAK),10.0,0,57,5,5.70,1,,v New Zealand,Karachi,9 Jan 2023,
Abu Jayed (BAN),9.0,0,58,5,6.44,1,,v Ireland,Dublin,15 May 2019,
Mustafizur Rahman (BAN),10.0,1,59,5,5.90,1,,v India,Birmingham,2 Jul 2019,
MJ Santner (NZ),10.0,0,59,5,5.90,2,,v Netherlands,Hyderabad,9 Oct 2023,
BA Carse (ENG),10.0,0,61,5,6.10,1,,v Pakistan,Birmingham,13 Jul 2021,
KW Richardson (AUS),10.0,1,68,5,6.80,2,,v India,Canberra,20 Jan 2016,
Mohammed Shami (IND),10.0,1,69,5,6.90,1,,v England,Birmingham,30 Jun 2019,
PJ Cummins (AUS),10.0,0,70,5,7.00,1,,v India,Mohali,10 Mar 2019,
Mustafizur Rahman (BAN),10.0,0,75,5,7.50,1,,v Pakistan,Lord's,5 Jul 2019,
AU Rashid (ENG),10.0,0,85,5,8.50,2,,v West Indies,St George's,27 Feb 2019,
Kuldeep Yadav (IND),3.0,2,6,4,2.00,1,,v West Indies,Bridgetown,27 Jul 2023,
Shakib Al Hasan (BAN),7.2,2,8,4,1.09,1,,v West Indies,Mirpur,20 Jan 2021,
A Zampa (AUS),3.0,0,8,4,2.66,2,,v Netherlands,Delhi,25 Oct 2023,
M Prasidh Krishna (IND),9.0,3,12,4,1.33,2,,v West Indies,Ahmedabad,9 Feb 2022,
MA Starc (AUS),4.4,1,14,4,3.00,1,,v Scotland,Hobart,14 Mar 2015,
JP Duminy (SA),4.5,0,16,4,3.31,2,,v Ireland,Benoni,25 Sep 2016,
Mohammed Shami (IND),6.2,0,16,4,2.52,2,,v West Indies,Manchester,27 Jun 2019,
Amir Hamza (AFG),7.5,2,17,4,2.17,2,,v Zimbabwe,Sharjah,25 Dec 2015,
YS Chahal (IND),4.0,0,17,4,4.25,2,,v West Indies,Port of Spain,27 Jul 2022,
Mustafizur Rahman (BAN),5.2,0,17,4,3.18,2,,v Zimbabwe,Harare,10 Aug 2022,
XC Bartlett (AUS),9.0,1,17,4,1.88,1,,v West Indies,Melbourne,2 Feb 2024,
DL Vettori (NZ),10.0,4,18,4,1.80,1,,v Afghanistan,Napier,8 Mar 2015,
CR Woakes (ENG),10.0,5,18,4,1.80,1,,v Sri Lanka,Chester-le-Street,29 Jun 2021,
Kuldeep Yadav (IND),4.1,1,18,4,4.32,1,,v South Africa,Delhi,11 Oct 2022,
Azmatullah Omarzai (AFG),4.2,0,18,4,4.15,1,,v Zimbabwe,Harare,17 Dec 2024,
Junaid Khan (PAK),9.0,1,19,4,2.11,1,,v Bangladesh,Abu Dhabi,26 Sep 2018,
Mohammad Nawaz (3) (PAK),10.0,0,19,4,1.90,2,,v West Indies,Multan,10 Jun 2022,
Haris Rauf (PAK),6.0,0,19,4,3.16,1,,v Bangladesh,Lahore,6 Sep 2023,
MJ Henry (NZ),10.0,1,19,4,1.90,1,,v Sri Lanka,Wellington,5 Jan 2025,
KJ Abbott (SA),8.0,0,21,4,2.62,2,,v Ireland,Canberra,3 Mar 2015,
Rashid Khan (AFG),8.0,1,21,4,2.62,2,,v Ireland,Belfast,17 Jul 2016,
Shoriful Islam (BAN),9.0,1,21,4,2.33,1,,v Afghanistan,Chattogram,11 Jul 2023,
XC Bartlett (AUS),7.1,0,21,4,2.93,1,,v West Indies,Canberra,6 Feb 2024,
MG Johnson (AUS),7.3,0,22,4,2.93,2,,v Afghanistan,W.A.C.A,4 Mar 2015,
