Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
MP Breetzke (SA),150,184,148,11,5,101.35,1,,v New Zealand,Lahore,10 Feb 2025,
Azmatullah Omarzai (AFG),149*,197,115,13,6,129.56,2,,v Sri Lanka,Pallekele,9 Feb 2024,
SPD Smith (AUS),149,179,135,11,2,110.37,2,,v India,W.A.C.A,12 Jan 2016,
EJG Morgan (ENG),148,77,71,4,17,208.45,1,,v Afghanistan,Manchester,18 Jun 2019,
KS Williamson (NZ),148,212,154,14,1,96.10,1,,v West Indies,Manchester,22 Jun 2019,
RG Sharma (IND),147,168,138,18,2,106.52,1,,v New Zealand,Kanpur,29 Oct 2017,
AD Hales (ENG),147,-,92,16,5,159.78,1,,v Australia,Nottingham,19 Jun 2018,
MP Stoinis (AUS),146*,161,117,9,11,124.78,2,,v New Zealand,Auckland,30 Jan 2017,
TWM Latham (NZ),145*,130,104,19,5,139.42,2,,v India,Auckland,25 Nov 2022,
Rahmanullah Gurbaz (AFG),145,177,125,13,8,116.00,1,,v Bangladesh,Chattogram,8 Jul 2023,
Mushfiqur Rahim (BAN),144,-,150,11,4,96.00,1,,v Sri Lanka,Dubai (DICS),15 Sep 2018,
Imrul Kayes (BAN),144,-,140,13,6,102.85,1,,v Zimbabwe,Mirpur,21 Oct 2018,
T Bavuma (SA),144,-,118,11,7,122.03,2,,v West Indies,East London,18 Mar 2023,
S Dhawan (IND),143,-,115,18,3,124.34,1,,v Australia,Mohali,10 Mar 2019,
JM Bairstow (ENG),141*,-,114,17,0,123.68,2,,v West Indies,Southampton,29 Sep 2017,
TWM Latham (NZ),140*,187,123,10,5,113.82,1,,v Netherlands,Hamilton,2 Apr 2022,
V Kohli (IND),140,-,107,21,2,130.84,2,,v West Indies,Guwahati,21 Oct 2018,
RG Sharma (IND),140,153,113,14,3,123.89,1,,v Pakistan,Manchester,16 Jun 2019,
MG Bracewell (NZ),140,125,78,12,10,179.48,2,,v India,Hyderabad,18 Jan 2023,
DJ Malan (ENG),140,106,107,16,5,130.84,1,,v Bangladesh,Dharamsala,10 Oct 2023,
JM Bairstow (ENG),139,-,92,15,5,151.08,1,,v Australia,Nottingham,19 Jun 2018,
DA Miller (SA),139,-,108,13,4,128.70,1,,v Australia,Hobart,11 Nov 2018,
Q de Kock (SA),138*,154,96,12,6,143.75,2,,v England,Bloemfontein,3 Feb 2016,
V Kohli (IND),138,202,140,6,5,98.57,1,,v South Africa,Chennai,22 Oct 2015,
JM Bairstow (ENG),138,160,106,14,7,130.18,1,,v New Zealand,Dunedin,7 Mar 2018,
MJ Guptill (NZ),138,-,139,11,5,99.28,1,,v Sri Lanka,Mount Maunganui,3 Jan 2019,
Fakhar Zaman (PAK),138,136,106,12,4,130.18,2,,v England,Southampton,11 May 2019,
DP Conway (NZ),138,144,100,12,8,138.00,2,,v India,Indore,24 Jan 2023,
RG Sharma (IND),137*,-,114,15,4,120.17,2,,v England,Nottingham,12 Jul 2018,
S Dhawan (IND),137,199,146,16,2,93.83,1,,v South Africa,Melbourne,22 Feb 2015,
RG Sharma (IND),137,223,126,14,3,108.73,1,,v Bangladesh,Melbourne,19 Mar 2015,
TWM Latham (NZ),137,218,121,7,4,113.22,1,,v Bangladesh,Christchurch,26 Dec 2016,
LRPL Taylor (NZ),137,-,131,9,4,104.58,1,,v Sri Lanka,Nelson,8 Jan 2019,
TM Head (AUS),137,166,120,15,4,114.16,2,,v India,Ahmedabad,19 Nov 2023,
Litton Das (BAN),136,212,126,16,2,107.93,1,,v Afghanistan,Chattogram,25 Feb 2022,
Mohammad Nabi (AFG),136,157,130,15,3,104.61,2,,v Sri Lanka,Pallekele,9 Feb 2024,
Q de Kock (SA),135,147,117,16,4,115.38,2,,v England,Centurion,9 Feb 2016,
MS Dhoni (IND),134,203,122,10,6,109.83,1,,v England,Cuttack,19 Jan 2017,
HE van der Dussen (SA),134,174,117,10,0,114.52,1,,v England,Chester-le-Street,19 Jul 2022,
DJ Malan (ENG),134,189,128,12,4,104.68,1,,v Australia,Adelaide,17 Nov 2022,
DJ Mitchell (NZ),134,180,119,9,7,112.60,2,,v India,Wankhede,15 Nov 2023,
Agha Salman (PAK),134,158,103,16,2,130.09,2,,v South Africa,Karachi,12 Feb 2025,
