Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Mohammad Nawaz (3) (PAK),39,66,43,4,0,90.69,1,,v Netherlands,Hyderabad,6 Oct 2023,
Towhid Hridoy (BAN),39,70,61,2,0,63.93,2,,v England,Dharamsala,10 Oct 2023,
KL Rahul (IND),39,77,58,3,0,67.24,1,,v England,Lucknow,29 Oct 2023,
Ibrahim Zadran (AFG),39,73,57,4,1,68.42,2,,v Sri Lanka,Pune,30 Oct 2023,
MS Chapman (NZ),39,42,27,7,0,144.44,1,,v Pakistan,Bengaluru,4 Nov 2023,
HC Brook (ENG),39,34,31,2,3,125.80,1,,v Australia,Nottingham,19 Sep 2024,
JL Smith (ENG),39,40,28,1,2,139.28,1,,v Australia,Lord's,27 Sep 2024,
Sediqullah Atal (AFG),39,75,51,5,0,76.47,2,,v Bangladesh,Sharjah,9 Nov 2024,
Anwar Ali (PAK),38*,42,23,2,2,165.21,1,,v Zimbabwe,Lahore,31 May 2015,
Asad Shafiq (PAK),38*,69,60,2,0,63.33,2,,v Zimbabwe,Harare,5 Oct 2015,
Mosaddek Hossain (BAN),38*,52,39,4,0,97.43,1,,v England,Chattogram,12 Oct 2016,
MJ Santner (NZ),38*,48,34,3,2,111.76,1,,v Australia,Hamilton,5 Feb 2017,
JP Duminy (SA),38*,48,20,5,1,190.00,1,,v Sri Lanka,The Oval,3 Jun 2017,
Babar Azam (PAK),38*,65,45,2,1,84.44,2,,v England,Cardiff,14 Jun 2017,
KD Karthik (IND),38*,52,38,5,1,100.00,2,,v New Zealand,Mount Maunganui,28 Jan 2019,
AL Phehlukwayo (SA),38*,17,15,5,1,253.33,1,,v Sri Lanka,Durban,10 Mar 2019,
AT Carey (AUS),38*,41,27,5,0,140.74,1,,v England,Lord's,25 Jun 2019,
HE van der Dussen (SA),38*,46,45,3,0,84.44,2,,v England,Cape Town,4 Feb 2020,
TK Curran (ENG),38*,71,54,4,0,70.37,1,,v Ireland,Southampton,4 Aug 2020,
T Bavuma (SA),38*,78,53,1,0,71.69,2,,v Sri Lanka,Colombo (RPS),2 Sep 2021,
MA Starc (AUS),38*,59,45,2,1,84.44,1,,v New Zealand,Cairns,8 Sep 2022,
DP Conway (NZ),38*,87,51,6,0,74.50,2,,v India,Christchurch,30 Nov 2022,
Mehidy Hasan Miraz (BAN),38*,72,39,4,2,97.43,2,,v India,Mirpur,4 Dec 2022,
Agha Salman (PAK),38*,59,31,4,1,122.58,1,,v Afghanistan,Colombo (RPS),26 Aug 2023,
AL Phehlukwayo (SA),38*,27,19,2,4,200.00,1,,v Australia,Johannesburg,17 Sep 2023,
JC Archer (ENG),38*,17,17,2,3,223.52,1,,v West Indies,Bridgetown,6 Nov 2024,
KS Williamson (NZ),38,60,45,6,0,84.44,2,,v Scotland,Dunedin,17 Feb 2015,
Samiullah Shinwari (AFG),38,93,70,5,0,54.28,1,,v Sri Lanka,Dunedin,22 Feb 2015,
HM Amla (SA),38,51,27,9,0,140.74,2,,v Pakistan,Auckland,7 Mar 2015,
V Kohli (IND),38,71,48,4,0,79.16,2,,v Zimbabwe,Auckland,14 Mar 2015,
JJ Roy (ENG),38,53,35,5,1,108.57,2,,v New Zealand,Nottingham,17 Jun 2015,
SK Raina (IND),38,26,21,3,2,180.95,1,,v Bangladesh,Mirpur,24 Jun 2015,
EJG Morgan (ENG),38,78,46,4,0,82.60,2,,v Australia,Southampton,3 Sep 2015,
Bilal Asif (PAK),38,44,39,6,1,97.43,2,,v Zimbabwe,Harare,5 Oct 2015,
Asghar Afghan (AFG),38,87,58,2,2,65.51,1,,v Zimbabwe,Bulawayo,24 Oct 2015,
MJ Santner (NZ),38,63,46,2,1,82.60,1,,v Sri Lanka,Nelson,31 Dec 2015,
JE Root (ENG),38,93,64,2,0,59.37,2,,v South Africa,Gqeberha,6 Feb 2016,
F Behardien (SA),38,-,42,2,0,90.47,2,,v England,Johannesburg,12 Feb 2016,
Sarfaraz Ahmed (PAK),38,59,43,5,0,88.37,2,,v England,Nottingham,30 Aug 2016,
Mushfiqur Rahim (BAN),38,65,51,4,0,74.50,1,,v Afghanistan,Mirpur,28 Sep 2016,
Sharjeel Khan (PAK),38,-,41,5,0,92.68,1,,v West Indies,Abu Dhabi,5 Oct 2016,
AR Patel (IND),38,77,40,3,1,95.00,2,,v New Zealand,Ranchi,26 Oct 2016,
MS Wade (AUS),38,42,22,1,3,172.72,1,,v New Zealand,Sydney,4 Dec 2016,
Tamim Iqbal (BAN),38,90,59,5,0,64.40,2,,v New Zealand,Christchurch,26 Dec 2016,
Sabbir Rahman (BAN),38,-,49,2,3,77.55,2,,v New Zealand,Nelson,29 Dec 2016,
Soumya Sarkar (BAN),38,-,44,3,1,86.36,2,,v Sri Lanka,Colombo (SSC),1 Apr 2017,
NT Broom (NZ),38,-,42,4,0,90.47,1,,v Ireland,Dublin (Malahide),21 May 2017,
TWM Latham (NZ),38,82,62,2,0,61.29,1,,v India,Pune,25 Oct 2017,
KS Williamson (NZ),38,61,45,5,0,84.44,2,,v West Indies,Whangarei,20 Dec 2017,
C de Grandhomme (NZ),38,46,40,4,1,95.00,1,,v England,Mount Maunganui,28 Feb 2018,
Mohammad Nabi (AFG),38,103,63,1,0,60.31,2,,v Hong Kong,Bulawayo,8 Mar 2018,
JJ Roy (ENG),38,-,35,6,0,108.57,1,,v India,Nottingham,12 Jul 2018,
JM Bairstow (ENG),38,-,35,5,1,108.57,1,,v India,Nottingham,12 Jul 2018,
JM Bairstow (ENG),38,-,31,5,1,122.58,1,,v India,Lord's,14 Jul 2018,
JP Duminy (SA),38,-,23,3,2,165.21,2,,v Sri Lanka,Pallekele,8 Aug 2018,
Mohammad Nabi (AFG),38,-,28,2,2,135.71,2,,v Bangladesh,Abu Dhabi,23 Sep 2018,
S Dhawan (IND),38,-,40,4,2,95.00,1,,v West Indies,Brabourne,29 Oct 2018,
UT Khawaja (AUS),38,-,37,6,0,102.70,2,,v India,Nagpur,5 Mar 2019,
DA Miller (SA),38,62,43,2,0,88.37,2,,v Bangladesh,The Oval,2 Jun 2019,
F du Plessis (SA),38,77,54,4,0,70.37,1,,v India,Southampton,5 Jun 2019,
AK Markram (SA),38,74,55,4,0,69.09,1,,v New Zealand,Birmingham,19 Jun 2019,
SPD Smith (AUS),38,64,34,5,0,111.76,1,,v England,Lord's,25 Jun 2019,
TWM Latham (NZ),38,-,40,4,0,95.00,2,,v Australia,Sydney,13 Mar 2020,
SS Iyer (IND),38,-,36,5,0,105.55,2,,v Australia,Sydney,29 Nov 2020,
AT Carey (AUS),38,-,42,4,0,90.47,2,,v India,Canberra,2 Dec 2020,
Javed Ahmadi (AFG),38,85,55,2,2,69.09,1,,v Ireland,Abu Dhabi,21 Jan 2021,
MJ Guptill (NZ),38,28,19,3,4,200.00,2,,v Bangladesh,Dunedin,20 Mar 2021,
DL Chahar (IND),38,32,38,4,2,100.00,1,,v West Indies,Ahmedabad,11 Feb 2022,
Mehidy Hasan Miraz (BAN),38,75,49,1,2,77.55,1,,v South Africa,Johannesburg,20 Mar 2022,
Hashmatullah Shahidi (AFG),38,-,70,5,0,54.28,2,,v Zimbabwe,Harare,9 Jun 2022,
GD Phillips (NZ),38,55,53,3,1,71.69,2,,v Ireland,Dublin (Malahide),10 Jul 2022,
JM Bairstow (ENG),38,70,38,6,0,100.00,1,,v India,Lord's,14 Jul 2022,
LS Livingstone (ENG),38,40,26,1,3,146.15,1,,v South Africa,Manchester,22 Jul 2022,
Najmul Hossain Shanto (BAN),38,73,55,5,0,69.09,1,,v Zimbabwe,Harare,7 Aug 2022,
SS Iyer (IND),38,64,32,2,1,118.75,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
HE van der Dussen (SA),38,76,38,3,1,100.00,2,,v England,Bloemfontein,29 Jan 2023,
JM Vince (ENG),38,76,44,3,1,86.36,2,,v Bangladesh,Chattogram,6 Mar 2023,
AT Carey (AUS),38,66,46,2,1,82.60,1,,v India,Chennai,22 Mar 2023,
Hashmatullah Shahidi (AFG),38,64,47,4,0,80.85,2,,v Sri Lanka,Hambantota,2 Jun 2023,
TM Head (AUS),38,31,24,6,1,158.33,2,,v South Africa,Potchefstroom,12 Sep 2023,
JC Buttler (ENG),38,32,24,6,1,158.33,1,,v New Zealand,The Oval,13 Sep 2023,
Mushfiqur Rahim (BAN),38,60,46,1,1,82.60,1,,v India,Pune,19 Oct 2023,
JP Inglis (AUS),38,48,28,4,1,135.71,1,,v New Zealand,Dharamsala,28 Oct 2023,
Babar Azam (PAK),38,58,45,6,0,84.44,2,,v England,Eden Gardens,11 Nov 2023,
SM Curran (ENG),38,45,26,3,2,146.15,1,,v West Indies,North Sound,3 Dec 2023,
Afif Hossain (BAN),38,34,28,5,1,135.71,2,,v New Zealand,Dunedin,17 Dec 2023,
RK Singh (IND),38,41,27,3,2,140.74,1,,v South Africa,Paarl,21 Dec 2023,
T Bavuma (SA),38,62,47,4,1,80.85,2,,v Afghanistan,Sharjah,20 Sep 2024,
K Verreynne (SA),38,44,36,6,0,105.55,2,,v Ireland,Abu Dhabi,7 Oct 2024,
DJ Mitchell (NZ),38,76,38,3,1,100.00,1,,v Sri Lanka,Hamilton,8 Jan 2025,
T Banton (ENG),38,48,41,4,2,92.68,2,,v India,Ahmedabad,12 Feb 2025,
AAP Atkinson (ENG),38,32,19,6,1,200.00,2,,v India,Ahmedabad,12 Feb 2025,
Tayyab Tahir (PAK),38,37,33,4,1,115.15,1,,v New Zealand,Karachi,14 Feb 2025,
Khushdil Shah (PAK),38,58,39,0,2,97.43,1,,v India,Dubai (DICS),23 Feb 2025,
JDS Neesham (NZ),37*,47,31,2,1,119.35,1,,v Zimbabwe,Harare,7 Aug 2015,
L Ronchi (NZ),37*,44,31,3,0,119.35,1,,v Sri Lanka,Mount Maunganui,5 Jan 2016,
AB de Villiers (SA),37*,72,34,3,0,108.82,2,,v New Zealand,Hamilton,19 Feb 2017,
TS Roland-Jones (ENG),37*,61,37,5,1,100.00,1,,v South Africa,Lord's,29 May 2017,
LRPL Taylor (NZ),37*,36,25,2,3,148.00,2,,v India,Hamilton,31 Jan 2019,
C de Grandhomme (NZ),37*,23,15,4,2,246.66,1,,v Bangladesh,Dunedin,20 Feb 2019,
DA Miller (SA),37*,47,29,3,0,127.58,2,,v Australia,Bloemfontein,4 Mar 2020,
AK Markram (SA),37*,60,41,4,0,90.24,2,,v India,Paarl,21 Jan 2022,
HE van der Dussen (SA),37*,54,38,2,0,97.36,2,,v India,Paarl,21 Jan 2022,
Washington Sundar (IND),37*,22,16,3,3,231.25,1,,v New Zealand,Auckland,25 Nov 2022,
Mushfiqur Rahim (BAN),37*,77,36,3,1,102.77,2,,v Sri Lanka,Chattogram,18 Mar 2024,
Jaker Ali (BAN),37*,46,27,1,3,137.03,1,,v Afghanistan,Sharjah,9 Nov 2024,
Younis Khan (PAK),37,68,44,4,0,84.09,1,,v South Africa,Auckland,7 Mar 2015,
AD Hales (ENG),37,58,33,3,2,112.12,2,,v Afghanistan,Sydney,13 Mar 2015,
Mohammad Hafeez (PAK),37,46,37,5,1,100.00,2,,v Sri Lanka,Hambantota,26 Jul 2015,
HM Amla (SA),37,96,59,3,0,62.71,1,,v India,Kanpur,11 Oct 2015,
Mohammad Hafeez (PAK),37,54,36,5,1,102.77,2,,v England,Dubai (DICS),20 Nov 2015,
MS Wade (AUS),37,58,38,3,2,97.36,2,,v New Zealand,Auckland,3 Feb 2016,
Mohammad Hafeez (PAK),37,-,59,4,1,62.71,1,,v Ireland,Dublin (Malahide),18 Aug 2016,
Imrul Kayes (BAN),37,75,53,6,0,69.81,1,,v Afghanistan,Mirpur,25 Sep 2016,
TM Head (AUS),37,82,70,2,0,52.85,1,,v New Zealand,Melbourne,9 Dec 2016,
L Ronchi (NZ),37,-,26,7,0,142.30,1,,v Ireland,Dublin (Malahide),14 May 2017,
JE Root (ENG),37,93,51,2,0,72.54,1,,v South Africa,Leeds,24 May 2017,
KD Karthik (IND),37,58,47,4,0,78.72,1,,v New Zealand,Wankhede,22 Oct 2017,
HM Nicholls (NZ),37,33,24,5,1,154.16,2,,v India,Kanpur,29 Oct 2017,
TWM Latham (NZ),37,66,42,5,0,88.09,1,,v West Indies,Christchurch,26 Dec 2017,
Shakib Al Hasan (BAN),37,-,46,5,0,80.43,2,,v Zimbabwe,Mirpur,15 Jan 2018,
CH Morris (SA),37,60,43,4,1,86.04,1,,v India,Durban,1 Feb 2018,
JM Bairstow (ENG),37,63,39,5,1,94.87,2,,v New Zealand,Mount Maunganui,28 Feb 2018,
MS Dhoni (IND),37,-,59,2,0,62.71,2,,v England,Lord's,14 Jul 2018,
Shakib Al Hasan (BAN),37,-,44,3,0,84.09,1,,v West Indies,Basseterre,28 Jul 2018,
Hashmatullah Shahidi (AFG),37,-,52,2,0,71.15,1,,v Sri Lanka,Abu Dhabi,17 Sep 2018,
Mohammad Shahzad (AFG),37,-,47,4,0,78.72,1,,v Bangladesh,Abu Dhabi,20 Sep 2018,
KD Karthik (IND),37,-,61,1,1,60.65,2,,v Bangladesh,Dubai (DICS),28 Sep 2018,
Mohammad Mithun (BAN),37,-,40,1,3,92.50,1,,v Zimbabwe,Mirpur,21 Oct 2018,
MM Ali (ENG),37,-,37,5,1,100.00,2,,v Sri Lanka,Colombo (RPS),23 Oct 2018,
TWM Latham (NZ),37,74,49,3,0,75.51,2,,v India,Wellington,3 Feb 2019,
JDS Neesham (NZ),37,29,24,3,2,154.16,1,,v Bangladesh,Dunedin,20 Feb 2019,
Mehidy Hasan Miraz (BAN),37,43,34,7,0,108.82,2,,v New Zealand,Dunedin,20 Feb 2019,
MP Stoinis (AUS),37,-,53,6,0,69.81,1,,v India,Hyderabad,2 Mar 2019,
RG Sharma (IND),37,-,66,5,0,56.06,2,,v Australia,Hyderabad,2 Mar 2019,
AJ Finch (AUS),37,-,53,5,1,69.81,2,,v India,Nagpur,5 Mar 2019,
BA Stokes (ENG),37,63,38,2,2,97.36,2,,v Pakistan,Bristol,14 May 2019,
Gulbadin Naib (AFG),37,52,28,4,1,132.14,2,,v England,Manchester,18 Jun 2019,
TK Curran (ENG),37,51,39,5,0,94.87,1,,v Australia,Manchester,13 Sep 2020,
RG Sharma (IND),37,71,37,6,0,100.00,1,,v England,Pune,28 Mar 2021,
PD Salt (ENG),37,31,22,7,0,168.18,2,,v Pakistan,Birmingham,13 Jul 2021,
MK Pandey (IND),37,64,31,3,0,119.35,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,
T Bavuma (SA),37,58,52,3,1,71.15,2,,v Bangladesh,Johannesburg,20 Mar 2022,
DA Warner (AUS),37,60,51,5,0,72.54,2,,v Sri Lanka,Pallekele,16 Jun 2022,
Najmul Hossain Shanto (BAN),37,71,46,5,0,80.43,2,,v West Indies,Providence,10 Jul 2022,
Washington Sundar (IND),37,34,27,4,1,137.03,1,,v Bangladesh,Chattogram,10 Dec 2022,
GD Phillips (NZ),37,78,53,1,1,69.81,1,,v Pakistan,Karachi,9 Jan 2023,
MJ Santner (NZ),37,62,40,1,1,92.50,1,,v Pakistan,Karachi,11 Jan 2023,
Q de Kock (SA),37,64,41,5,1,90.24,1,,v England,Bloemfontein,27 Jan 2023,
Shubman Gill (IND),37,62,49,4,1,75.51,2,,v Australia,Chennai,22 Mar 2023,
Mehidy Hasan Miraz (BAN),37,58,39,3,0,94.87,1,,v Ireland,Chelmsford,14 May 2023,
Shahidullah (AFG),37,82,65,2,0,56.92,2,,v Pakistan,Colombo (RPS),26 Aug 2023,
PJ Cummins (AUS),37,23,14,2,4,264.28,1,,v New Zealand,Dharamsala,28 Oct 2023,
Anamul Haque (BAN),37,61,33,7,0,112.12,2,,v New Zealand,Napier,23 Dec 2023,
Mahmudullah (BAN),37,50,37,4,1,100.00,2,,v Sri Lanka,Chattogram,13 Mar 2024,
SM Curran (ENG),37,82,56,2,0,66.07,1,,v West Indies,North Sound,31 Oct 2024,
Babar Azam (PAK),37,66,44,4,0,84.09,1,,v Australia,Melbourne,4 Nov 2024,
Abdullah Shafique (PAK),37,78,53,1,1,69.81,2,,v Australia,Perth,10 Nov 2024,
Mohammad Rizwan (PAK),37,62,47,4,1,78.72,1,,v Zimbabwe,Bulawayo,28 Nov 2024,
Shoaib Malik (PAK),36*,38,20,4,1,180.00,2,,v Zimbabwe,Lahore,29 May 2015,
F Behardien (SA),36*,33,20,4,1,180.00,1,,v Sri Lanka,Cape Town,7 Feb 2017,
MK Pandey (IND),36*,44,32,6,0,112.50,2,,v Australia,Indore,24 Sep 2017,
JC Buttler (ENG),36*,30,20,2,3,180.00,2,,v New Zealand,Mount Maunganui,28 Feb 2018,
AT Carey (AUS),36*,-,37,5,0,97.29,1,,v India,Hyderabad,2 Mar 2019,
EJG Morgan (ENG),36*,56,40,4,2,90.00,2,,v Ireland,Southampton,30 Jul 2020,
DJ Malan (ENG),36*,83,50,1,1,72.00,2,,v Netherlands,Amstelveen,19 Jun 2022,
Mushfiqur Rahim (BAN),36*,71,28,4,0,128.57,2,,v Ireland,Chelmsford,12 May 2023,
MJ Santner (NZ),36*,25,17,3,2,211.76,1,,v Netherlands,Hyderabad,9 Oct 2023,
SPD Smith (AUS),36*,-,48,4,1,75.00,2,,v England,Bristol,29 Sep 2024,
Mushfiqur Rahim (BAN),36,75,39,2,1,92.30,2,,v Sri Lanka,Melbourne,26 Feb 2015,
Azhar Ali (PAK),36,69,60,5,0,60.00,1,,v Bangladesh,Mirpur,19 Apr 2015,
Litton Das (BAN),36,52,41,5,0,87.80,2,,v India,Mirpur,21 Jun 2015,
F Behardien (SA),36,84,44,2,1,81.81,1,,v Bangladesh,Mirpur,12 Jul 2015,
GD Elliott (NZ),36,53,38,3,1,94.73,1,,v Zimbabwe,Harare,7 Aug 2015,
DA Miller (SA),36,60,37,3,0,97.29,1,,v New Zealand,Durban,26 Aug 2015,
JJ Roy (ENG),36,45,33,7,0,109.09,2,,v Australia,Leeds,11 Sep 2015,
JP Duminy (SA),36,52,46,3,0,78.26,2,,v India,Indore,14 Oct 2015,
Azhar Ali (PAK),36,78,54,1,1,66.66,1,,v England,Sharjah,17 Nov 2015,
MS Wade (AUS),36,39,27,2,1,133.33,1,,v India,Sydney,23 Jan 2016,
JP Faulkner (AUS),36,60,33,6,0,109.09,2,,v New Zealand,Auckland,3 Feb 2016,
AF Milne (NZ),36,32,27,2,1,133.33,1,,v Australia,Wellington,6 Feb 2016,
AB de Villiers (SA),36,-,27,4,1,133.33,2,,v England,Johannesburg,12 Feb 2016,
TM Head (AUS),36,49,48,5,0,75.00,2,,v Sri Lanka,Dambulla,28 Aug 2016,
Rahmat Shah (AFG),36,102,73,1,0,49.31,2,,v Bangladesh,Mirpur,1 Oct 2016,
HH Pandya (IND),36,51,32,3,0,112.50,2,,v New Zealand,Delhi,20 Oct 2016,
PJ Cummins (AUS),36,30,28,5,1,128.57,2,,v New Zealand,Auckland,30 Jan 2017,
KS Williamson (NZ),36,51,42,5,0,85.71,1,,v Australia,Hamilton,5 Feb 2017,
F du Plessis (SA),36,59,46,4,0,78.26,1,,v New Zealand,Wellington,25 Feb 2017,
NT Broom (NZ),36,60,40,3,0,90.00,1,,v Bangladesh,Cardiff,9 Jun 2017,
F du Plessis (SA),36,63,50,1,0,72.00,1,,v India,The Oval,11 Jun 2017,
MK Pandey (IND),36,-,53,2,0,67.92,2,,v Sri Lanka,Colombo (RPS),3 Sep 2017,
AD Hales (ENG),36,52,35,5,0,102.85,1,,v West Indies,Bristol,24 Sep 2017,
Shafiqullah (AFG),36,-,23,3,3,156.52,1,,v Ireland,Sharjah,5 Dec 2017,
MR Marsh (AUS),36,-,43,3,0,83.72,1,,v England,Brisbane,19 Jan 2018,
Mohammad Shahzad (AFG),36,-,40,4,1,90.00,1,,v Zimbabwe,Sharjah,9 Feb 2018,
V Kohli (IND),36,76,54,2,0,66.66,1,,v South Africa,Gqeberha,13 Feb 2018,
DA Miller (SA),36,56,51,2,1,70.58,2,,v India,Gqeberha,13 Feb 2018,
S Dhawan (IND),36,-,30,6,0,120.00,2,,v England,Lord's,14 Jul 2018,
Mashrafe Mortaza (BAN),36,-,25,4,1,144.00,1,,v West Indies,Basseterre,28 Jul 2018,
Rahmat Shah (AFG),36,-,51,2,0,70.58,1,,v Pakistan,Abu Dhabi,21 Sep 2018,
MS Dhoni (IND),36,-,67,3,0,53.73,2,,v Bangladesh,Dubai (DICS),28 Sep 2018,
AK Markram (SA),36,-,32,6,0,112.50,2,,v Australia,Perth,4 Nov 2018,
JE Root (ENG),36,58,40,6,0,90.00,2,,v West Indies,Bridgetown,22 Feb 2019,
RR Pant (IND),36,-,24,4,1,150.00,1,,v Australia,Mohali,10 Mar 2019,
F du Plessis (SA),36,51,27,7,0,133.33,1,,v Sri Lanka,Durban,10 Mar 2019,
Umar Akmal (PAK),36,-,46,3,0,78.26,2,,v Australia,Abu Dhabi,27 Mar 2019,
Mushfiqur Rahim (BAN),36,-,22,2,2,163.63,2,,v West Indies,Dublin (Malahide),17 May 2019,
JE Root (ENG),36,68,41,3,0,87.80,2,,v Pakistan,Nottingham,17 May 2019,
Fakhar Zaman (PAK),36,63,40,6,0,90.00,1,,v England,Nottingham,3 Jun 2019,
AJ Finch (AUS),36,60,35,3,1,102.85,2,,v India,The Oval,9 Jun 2019,
DA Miller (SA),36,55,37,2,1,97.29,1,,v New Zealand,Birmingham,19 Jun 2019,
Rahmat Shah (AFG),36,94,63,3,0,57.14,2,,v India,Southampton,22 Jun 2019,
HE van der Dussen (SA),36,71,47,1,1,76.59,2,,v Pakistan,Lord's,23 Jun 2019,
Tamim Iqbal (BAN),36,62,53,4,0,67.92,1,,v Afghanistan,Southampton,24 Jun 2019,
Imam-ul-Haq (PAK),36,60,51,4,0,70.58,2,,v Afghanistan,Leeds,29 Jun 2019,
Sabbir Rahman (BAN),36,55,36,5,0,100.00,2,,v India,Birmingham,2 Jul 2019,
JM Bairstow (ENG),36,79,55,7,0,65.45,2,,v New Zealand,Lord's,14 Jul 2019,
S Dhawan (IND),36,53,36,5,0,100.00,2,,v West Indies,Port of Spain,14 Aug 2019,
RG Sharma (IND),36,-,56,6,0,64.28,1,,v West Indies,Chennai,15 Dec 2019,
MR Marsh (AUS),36,67,45,3,0,80.00,1,,v South Africa,Bloemfontein,4 Mar 2020,
DJM Short (AUS),36,59,44,3,0,81.81,1,,v South Africa,Potchefstroom,7 Mar 2020,
AT Carey (AUS),36,80,41,2,0,87.80,2,,v England,Manchester,13 Sep 2020,
Gulbadin Naib (AFG),36,76,44,3,1,81.81,1,,v Ireland,Abu Dhabi,26 Jan 2021,
LS Livingstone (ENG),36,40,31,4,1,116.12,2,,v India,Pune,28 Mar 2021,
MS Wade (AUS),36,118,68,2,0,52.94,1,,v West Indies,Bridgetown,22 Jul 2021,
A Zampa (AUS),36,84,62,4,0,58.06,1,,v West Indies,Bridgetown,22 Jul 2021,
H Klaasen (SA),36,63,31,2,0,116.12,2,,v Sri Lanka,Colombo (RPS),2 Sep 2021,
BR McDermott (AUS),36,78,50,3,1,72.00,1,,v Pakistan,Lahore,2 Apr 2022,
JDS Neesham (NZ),36,48,34,5,0,105.88,2,,v Australia,Cairns,11 Sep 2022,
SV Samson (IND),36,58,38,4,0,94.73,1,,v New Zealand,Auckland,25 Nov 2022,
DJ Mitchell (NZ),36,76,55,1,0,65.45,1,,v Pakistan,Karachi,9 Jan 2023,
HH Pandya (IND),36,86,53,4,0,67.92,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,
GD Phillips (NZ),36,95,52,5,0,69.23,1,,v India,Raipur,21 Jan 2023,
V Kohli (IND),36,44,27,3,1,133.33,1,,v New Zealand,Indore,24 Jan 2023,
T Bavuma (SA),36,41,28,4,1,128.57,1,,v England,Bloemfontein,27 Jan 2023,
JC Buttler (ENG),36,78,42,4,0,85.71,2,,v South Africa,Bloemfontein,27 Jan 2023,
Rahmat Shah (AFG),36,50,42,3,0,85.71,2,,v Sri Lanka,Hambantota,4 Jun 2023,
JC Buttler (ENG),36,36,31,3,1,116.12,1,,v New Zealand,Lord's,15 Sep 2023,
Imam-ul-Haq (PAK),36,64,38,6,0,94.73,1,,v India,Ahmedabad,14 Oct 2023,
Rahmat Shah (AFG),36,86,62,1,0,58.06,2,,v New Zealand,Chennai,18 Oct 2023,
MR Marsh (AUS),36,65,51,2,0,70.58,1,,v New Zealand,Dharamsala,28 Oct 2023,
Tanzid Hasan (BAN),36,55,34,6,0,105.88,1,,v Australia,Pune,11 Nov 2023,
Litton Das (BAN),36,76,45,5,0,80.00,1,,v Australia,Pune,11 Nov 2023,
Mohammad Rizwan (PAK),36,78,51,2,0,70.58,2,,v England,Eden Gardens,11 Nov 2023,
HE van der Dussen (SA),36,50,51,5,0,70.58,2,,v India,Gqeberha,19 Dec 2023,
AK Markram (SA),36,41,41,2,1,87.80,2,,v India,Paarl,21 Dec 2023,
AU Rashid (ENG),36,40,35,4,0,102.85,1,,v Australia,Bristol,29 Sep 2024,
RD Rickelton (SA),36,51,38,7,0,94.73,1,,v Pakistan,Paarl,17 Dec 2024,
Mohammad Rizwan (PAK),35*,27,22,2,1,159.09,1,,v Sri Lanka,Colombo (RPS),19 Jul 2015,
AU Rashid (ENG),35*,64,45,5,0,77.77,1,,v Australia,Manchester,13 Sep 2015,
F Behardien (SA),35*,21,19,5,1,184.21,1,,v India,Kanpur,11 Oct 2015,
MJ Santner (NZ),35*,54,39,1,2,89.74,1,,v Australia,Auckland,3 Feb 2016,
CH Morris (SA),35*,38,22,3,2,159.09,2,,v England,Southampton,27 May 2017,
DJ Willey (ENG),35*,49,41,5,1,85.36,2,,v Australia,The Oval,13 Jun 2018,
BA Stokes (ENG),35*,-,24,1,2,145.83,2,,v Sri Lanka,Pallekele,17 Oct 2018,
Rashid Khan (AFG),35*,-,28,2,2,125.00,1,,v Ireland,Dehradun,10 Mar 2019,
Mahmudullah (BAN),35*,-,29,2,2,120.68,2,,v Ireland,Dublin,15 May 2019,
RR Hendricks (SA),35*,-,34,3,0,102.94,1,,v England,Durban,7 Feb 2020,
AU Rashid (ENG),35*,41,26,3,1,134.61,1,,v Australia,Manchester,13 Sep 2020,
DA Miller (SA),35*,61,34,4,0,102.94,1,,v India,Ranchi,9 Oct 2022,
Rashid Khan (AFG),35*,25,18,2,3,194.44,1,,v Australia,Wankhede,7 Nov 2023,
JP Inglis (AUS),35*,32,16,4,1,218.75,2,,v West Indies,Canberra,6 Feb 2024,
T Bavuma (SA),35*,57,39,4,1,89.74,1,,v Ireland,Abu Dhabi,4 Oct 2024,
Nasir Hossain (BAN),35,29,34,6,0,102.94,2,,v India,Melbourne,19 Mar 2015,
BB McCullum (NZ),35,57,31,2,1,112.90,1,,v England,Nottingham,17 Jun 2015,
GD Elliott (NZ),35,37,36,4,0,97.22,1,,v England,Chester-le-Street,20 Jun 2015,
Q de Kock (SA),35,59,41,5,0,85.36,2,,v Bangladesh,Mirpur,10 Jul 2015,
Azhar Ali (PAK),35,57,42,5,0,83.33,2,,v Sri Lanka,Hambantota,26 Jul 2015,
C Munro (NZ),35,67,44,2,0,79.54,2,,v South Africa,Durban,26 Aug 2015,
Shafiqullah (AFG),35,54,32,2,2,109.37,1,,v Zimbabwe,Bulawayo,20 Oct 2015,
EJG Morgan (ENG),35,73,58,4,0,60.34,2,,v Pakistan,Sharjah,17 Nov 2015,
CJ Anderson (NZ),35,49,29,1,3,120.68,2,,v Pakistan,Auckland,31 Jan 2016,
HM Amla (SA),35,81,46,2,0,76.08,1,,v Australia,Providence,7 Jun 2016,
F Behardien (SA),35,-,57,4,0,61.40,2,,v West Indies,Bridgetown,24 Jun 2016,
