,player,runs,mins,bf,4s,6s,sr,inns_batting,overs,mdns,runs_given,wkts,econ,inns_bowling,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country,runs_clean,Credits,Player Type,Player Name,Team,Bowling Style,fantasy_points,preferred_style,opponent_tier
2288,AR Patel,42.0,61,34,3,2,123.52,2,9.0,0,47,1,5.22,1,0.0,0,0,0,0,v Bangladesh,Colombo (RPS),2023-09-15,IND,42.0,8.0,ALL,Axar Patel,IND,Spin,103.0,,3
2291,AT Carey,99.0,125,77,9,4,128.57,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v South Africa,Centurion,2023-09-15,AUS,99.0,7.0,WK,Alex Carey,AUS,,199.0,,2
2293,TM Head,,40,11,1,1,154.54,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Centurion,2023-09-15,AUS,17.0,9.0,BAT,Travis Head,AUS,,31.0,,2
2294,AK Markram,8.0,20,11,0,0,72.72,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v Australia,Centurion,2023-09-15,SA,8.0,8.0,ALL,Aiden Markram,SA,Spin,20.0,,1
2295,DP Conway,7.0,23,12,1,0,58.33,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Lord's,2023-09-15,NZ,7.0,8.0,WK,Devon Conway,NZ,,15.0,,1
2296,TWM Latham,13.0,29,22,1,0,59.09,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v England,Lord's,2023-09-15,NZ,13.0,7.5,WK,Tom Latham,NZ,,29.0,,1
2297,MJ Henry,0.0,1,1,0,0,0.0,2,10.0,0,69,2,6.9,1,0.0,0,0,0,0,v England,Lord's,2023-09-15,NZ,0.0,8.5,BOWL,Matt Henry,NZ,Pace,54.0,,1
2304,Mohammed Shami,6.0,10,6,1,0,100.0,2,8.0,1,32,2,4.0,1,0.0,0,0,0,0,v Bangladesh,Colombo (RPS),2023-09-15,IND,6.0,8.5,BOWL,Mohammed Shami,IND,Pace,72.0,,3
2306,Mehidy Hasan Miraz,13.0,39,28,1,0,46.42,1,5.0,0,29,1,5.8,2,1.0,1,0,0,1,v India,Colombo (RPS),2023-09-15,BAN,13.0,8.5,ALL,Mehidy Hasan Miraz,BAN,Spin,52.0,,1
2307,HC Brook,10.0,16,15,0,0,66.66,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v New Zealand,Lord's,2023-09-15,ENG,10.0,7.0,BAT,Harry Brook,ENG,,22.0,,2
2309,JC Buttler,36.0,36,31,3,1,116.12,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v New Zealand,Lord's,2023-09-15,ENG,36.0,8.5,WK,Jos Buttler,ENG,,72.0,,2
2310,H Klaasen,174.0,114,83,13,13,209.63,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Centurion,2023-09-15,SA,174.0,9.0,WK,Heinrich Klaasen,SA,,398.0,,1
2312,RG Sharma,0.0,3,2,0,0,0.0,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Bangladesh,Colombo (RPS),2023-09-15,IND,0.0,9.0,BAT,Rohit Sharma,IND,,9.0,,3
2315,Mustafizur Rahman,,0,0,0,0,0.0,1,8.0,0,50,3,6.25,2,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-15,BAN,,8.0,BOWL,Mustafizur Rahman,BAN,Pace,79.0,,1
2318,HE van der Dussen,62.0,91,65,7,2,95.38,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Centurion,2023-09-15,SA,62.0,8.0,BAT,Rassie van der-Dussen,SA,,118.0,,1
2320,DA Miller,,73,45,6,5,182.22,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v Australia,Centurion,2023-09-15,SA,82.0,7.5,BAT,David Miller,SA,,178.0,,1
2321,K Rabada,,0,0,0,0,0.0,1,7.5,0,41,3,5.23,2,1.0,1,0,0,1,v Australia,Centurion,2023-09-15,SA,,9.0,BOWL,Kagiso Rabada,SA,Pace,87.0,,1
2322,GD Phillips,25.0,43,32,2,0,78.12,2,3.0,0,25,0,8.33,1,1.0,1,0,0,1,v England,Lord's,2023-09-15,NZ,25.0,8.0,ALL,Glenn Phillips,NZ,Spin,49.0,,1
2323,KA Maharaj,,0,0,0,0,0.0,1,5.0,1,27,1,5.4,2,0.0,0,0,0,0,v Australia,Centurion,2023-09-15,SA,,8.0,BOWL,Keshav Maharaj,SA,Spin,35.0,,1
2324,KL Rahul,19.0,58,39,2,0,48.71,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v Bangladesh,Colombo (RPS),2023-09-15,IND,19.0,7.5,WK,Lokesh Rahul,IND,,37.0,,3
2326,A Zampa,9.0,13,11,1,0,81.81,2,10.0,0,113,0,11.3,1,0.0,0,0,0,0,v South Africa,Centurion,2023-09-15,AUS,9.0,9.0,BOWL,Adam Zampa,AUS,Spin,11.0,,2
2327,LS Livingstone,28.0,51,38,0,1,73.68,1,7.0,0,34,1,4.85,2,0.0,0,0,0,0,v New Zealand,Lord's,2023-09-15,ENG,28.0,7.0,ALL,Liam Livingstone,ENG,Spin,67.0,,2
2328,Towhid Hridoy,54.0,99,81,5,2,66.66,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v India,Colombo (RPS),2023-09-15,BAN,54.0,7.5,BAT,Tawhid Hridoy,BAN,,110.0,,1
2330,M Jansen,,0,0,0,0,0.0,1,6.0,0,55,1,9.16,2,0.0,0,0,0,0,v Australia,Centurion,2023-09-15,SA,,8.5,ALL,Marco Jansen,SA,Pace,23.0,,1
2331,R Ravindra,61.0,49,48,3,4,127.08,2,10.0,0,60,4,6.0,1,0.0,0,0,0,0,v England,Lord's,2023-09-15,NZ,61.0,8.0,BAT,Rachin Ravindra,NZ,,221.0,,1
2333,Tanzim Hasan Sakib,,14,8,1,1,175.0,1,7.5,1,32,2,4.08,2,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-15,BAN,14.0,7.0,BOWL,Tanzim Sakib,BAN,Pace,86.0,,1
2334,Nasum Ahmed,44.0,53,45,6,1,97.77,1,10.0,0,50,0,5.0,2,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-15,BAN,44.0,7.0,BOWL,Nasum Ahmed,BAN,Spin,82.0,,1
2335,WA Young,24.0,38,31,3,0,77.41,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Lord's,2023-09-15,NZ,24.0,7.0,BAT,Will Young,NZ,,40.0,,1
2342,M Labuschagne,20.0,36,22,3,0,90.9,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Centurion,2023-09-15,AUS,20.0,7.5,BAT,Marnus Labuschagne,AUS,,36.0,,2
2343,Shubman Gill,121.0,185,133,8,5,90.97,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Bangladesh,Colombo (RPS),2023-09-15,IND,121.0,8.5,BAT,Shubman Gill,IND,,227.0,,3
2344,NT Ellis,18.0,18,16,0,2,112.5,2,10.0,0,79,1,7.9,1,1.0,1,0,0,1,v South Africa,Centurion,2023-09-15,AUS,18.0,7.0,BOWL,Nathan Ellis,AUS,Pace,65.0,,2
2347,Mohammad Rizwan,,125,73,6,2,117.8,1,DNB,0,0,0,0.0,2,2.0,1,1,1,0,v Sri Lanka,Colombo (RPS),2023-09-14,PAK,86.0,8.5,WK,Mohammad Rizwan,PAK,,172.0,,2
2349,Fakhar Zaman,4.0,18,11,0,0,36.36,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-14,PAK,4.0,8.0,BAT,Fakhar Zaman,PAK,,8.0,,2
2351,Babar Azam,29.0,54,35,3,0,82.85,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-14,PAK,29.0,8.5,BAT,Babar Azam,PAK,,49.0,,2
2355,Shaheen Shah Afridi,,3,1,0,0,100.0,1,9.0,0,52,2,5.77,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-14,PAK,1.0,9.0,BOWL,Shaheen Afridi,PAK,Pace,55.0,,2
2357,DJ Mitchell,17.0,51,31,1,0,54.83,2,2.0,0,10,0,5.0,1,1.0,1,0,0,1,v England,The Oval,2023-09-13,NZ,17.0,8.5,BAT,Daryl Mitchell,NZ,,33.0,,1
2360,JC Buttler,38.0,32,24,6,1,158.33,1,DNB,0,0,0,0.0,2,4.0,3,1,3,0,v New Zealand,The Oval,2023-09-13,ENG,38.0,8.5,WK,Jos Buttler,ENG,,122.0,,2
2362,WA Young,12.0,20,13,2,0,92.3,2,DNB,0,0,0,0.0,1,2.0,2,0,0,2,v England,The Oval,2023-09-13,NZ,12.0,7.0,BAT,Will Young,NZ,,40.0,,1
2365,DP Conway,9.0,27,18,1,0,50.0,2,DNB,0,0,0,0.0,1,2.0,2,0,0,2,v England,The Oval,2023-09-13,NZ,9.0,8.0,WK,Devon Conway,NZ,,33.0,,1
2366,LH Ferguson,,22,17,0,0,29.41,2,9.0,0,80,1,8.88,1,0.0,0,0,0,0,v England,The Oval,2023-09-13,NZ,5.0,7.5,BOWL,Lockie Ferguson,NZ,Pace,30.0,,1
2367,R Ravindra,28.0,35,22,5,0,127.27,2,2.0,0,28,0,14.0,1,0.0,0,0,0,0,v England,The Oval,2023-09-13,NZ,28.0,8.0,BAT,Rachin Ravindra,NZ,,60.0,,1
2369,LS Livingstone,11.0,22,13,0,0,84.61,1,5.0,0,16,3,3.2,2,0.0,0,0,0,0,v New Zealand,The Oval,2023-09-13,ENG,11.0,7.0,ALL,Liam Livingstone,ENG,Spin,94.0,,2
2370,AAP Atkinson,2.0,5,3,0,0,66.66,1,5.0,0,24,0,4.8,2,0.0,0,0,0,0,v New Zealand,The Oval,2023-09-13,ENG,2.0,7.0,BOWL,Gus Atkinson,ENG,Pace,6.0,,2
2371,JE Root,4.0,10,7,1,0,57.14,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v New Zealand,The Oval,2023-09-13,ENG,4.0,8.0,ALL,Joe Root,ENG,Spin,12.0,,2
2374,TWM Latham,3.0,17,12,0,0,25.0,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v England,The Oval,2023-09-13,NZ,3.0,7.5,WK,Tom Latham,NZ,,15.0,,1
2375,GD Phillips,72.0,105,76,5,2,94.73,2,8.0,0,57,1,7.12,1,1.0,1,0,0,1,v England,The Oval,2023-09-13,NZ,72.0,8.0,ALL,Glenn Phillips,NZ,Spin,151.0,,1
2378,TM Head,38.0,31,24,6,1,158.33,2,10.0,0,39,2,3.9,1,0.0,0,0,0,0,v South Africa,Potchefstroom,2023-09-12,AUS,38.0,9.0,BAT,Travis Head,AUS,,134.0,,2
2382,H Klaasen,0.0,4,2,0,0,0.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Potchefstroom,2023-09-12,SA,0.0,9.0,WK,Heinrich Klaasen,SA,,1.0,,1
2383,KA Maharaj,,0,0,0,0,0.0,1,10.0,2,37,2,3.7,2,0.0,0,0,0,0,v Australia,Potchefstroom,2023-09-12,SA,,8.0,BOWL,Keshav Maharaj,SA,Spin,68.0,,1
2385,RG Sharma,53.0,73,48,7,2,110.41,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v Sri Lanka,Colombo (RPS),2023-09-12,IND,53.0,9.0,BAT,Rohit Sharma,IND,,119.0,,2
2386,T Bavuma,57.0,107,62,6,0,91.93,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Potchefstroom,2023-09-12,SA,57.0,8.0,BAT,Temba Bavuma,SA,,97.0,,1
2387,Kuldeep Yadav,0.0,2,1,0,0,0.0,1,9.3,0,43,4,4.52,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-12,IND,0.0,8.0,BOWL,Kuldeep Yadav,IND,Spin,108.0,,2
2389,RA Jadeja,4.0,18,19,0,0,21.05,1,10.0,0,33,2,3.3,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-12,IND,4.0,8.0,ALL,Ravindra Jadeja,IND,Spin,62.0,,2
2391,AT Carey,12.0,55,23,1,0,52.17,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Potchefstroom,2023-09-12,AUS,12.0,7.0,WK,Alex Carey,AUS,,20.0,,2
2392,DA Miller,8.0,21,17,0,0,47.05,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v Australia,Potchefstroom,2023-09-12,SA,8.0,7.5,BAT,David Miller,SA,,20.0,,1
2393,AR Patel,26.0,58,36,0,1,72.22,1,5.0,0,29,0,5.8,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-12,IND,26.0,8.0,ALL,Axar Patel,IND,Spin,40.0,,2
2394,V Kohli,3.0,12,12,0,0,25.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-12,IND,3.0,9.0,BAT,Virat Kohli,IND,,7.0,,2
2396,HH Pandya,5.0,26,18,0,0,27.77,1,5.0,0,14,1,2.8,2,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-12,IND,5.0,8.5,ALL,Hardik Pandya,IND,Pace,38.0,,2
2399,Shubman Gill,19.0,54,25,2,0,76.0,1,DNB,0,0,0,0.0,2,2.0,2,0,0,2,v Sri Lanka,Colombo (RPS),2023-09-12,IND,19.0,8.5,BAT,Shubman Gill,IND,,47.0,,2
2400,SA Abbott,2.0,4,3,0,0,66.66,2,3.0,0,31,0,10.33,1,1.0,1,0,0,1,v South Africa,Potchefstroom,2023-09-12,AUS,2.0,7.5,BOWL,Sean Abbott,AUS,Pace,14.0,,2
2403,T Shamsi,,0,0,0,0,0.0,1,7.0,0,29,2,4.14,2,0.0,0,0,0,0,v Australia,Potchefstroom,2023-09-12,SA,,6.5,BOWL,Tabraiz Shamsi,SA,Spin,56.0,,1
2405,NT Ellis,16.0,21,20,3,0,80.0,2,10.0,0,69,1,6.9,1,0.0,0,0,0,0,v South Africa,Potchefstroom,2023-09-12,AUS,16.0,7.0,BOWL,Nathan Ellis,AUS,Pace,57.0,,2
2406,AK Markram,,108,74,9,4,137.83,1,4.0,0,33,0,8.25,2,0.0,0,0,0,0,v Australia,Potchefstroom,2023-09-12,SA,102.0,8.0,ALL,Aiden Markram,SA,Spin,210.0,,1
2407,T Sangha,0.0,5,3,0,0,0.0,2,8.0,0,64,1,8.0,1,0.0,0,0,0,0,v South Africa,Potchefstroom,2023-09-12,AUS,0.0,6.0,BOWL,Tanveer Sangha,AUS,Spin,27.0,,2
2408,KL Rahul,39.0,56,44,2,0,88.63,1,DNB,0,0,0,0.0,2,3.0,2,1,2,0,v Sri Lanka,Colombo (RPS),2023-09-12,IND,39.0,7.5,WK,Lokesh Rahul,IND,,83.0,,2
2409,M Jansen,32.0,28,16,4,1,200.0,1,3.0,0,30,0,10.0,2,0.0,0,0,0,0,v Australia,Potchefstroom,2023-09-12,SA,32.0,8.5,ALL,Marco Jansen,SA,Pace,62.0,,1
2410,M Labuschagne,15.0,21,16,1,1,93.75,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Potchefstroom,2023-09-12,AUS,15.0,7.5,BAT,Marnus Labuschagne,AUS,,29.0,,2
2411,JE Root,0.0,2,2,0,0,0.0,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v New Zealand,Southampton,2023-09-10,ENG,0.0,8.0,ALL,Joe Root,ENG,Spin,9.0,,2
2413,DP Conway,14.0,41,24,2,0,58.33,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Southampton,2023-09-10,NZ,14.0,8.0,WK,Devon Conway,NZ,,26.0,,1
2414,MJ Santner,4.0,15,8,0,0,50.0,2,7.0,0,38,1,5.42,1,1.0,1,0,0,1,v England,Southampton,2023-09-10,NZ,4.0,8.0,ALL,Mitchell Santner,NZ,Spin,41.0,,1
2416,HC Brook,2.0,36,12,0,0,16.66,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v New Zealand,Southampton,2023-09-10,ENG,2.0,7.0,BAT,Harry Brook,ENG,,6.0,,2
2417,V Kohli,,147,94,9,3,129.78,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Pakistan,Colombo (RPS),2023-09-10,IND,122.0,9.0,BAT,Virat Kohli,IND,,224.0,,2
2418,Naseem Shah,,0,0,0,0,0.0,2,9.2,1,53,0,5.67,1,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-10,PAK,,7.5,BOWL,Naseem Shah,PAK,Pace,10.0,,1
2419,HH Pandya,,0,0,0,0,0.0,1,5.0,0,17,1,3.4,2,0.0,0,0,0,0,v Pakistan,Colombo (RPS),2023-09-10,IND,,8.5,ALL,Hardik Pandya,IND,Pace,33.0,,2
2420,TWM Latham,19.0,35,22,1,0,86.36,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Southampton,2023-09-10,NZ,19.0,7.5,WK,Tom Latham,NZ,,27.0,,1
2424,Agha Salman,23.0,58,32,2,0,71.87,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v India,Colombo (RPS),2023-09-10,PAK,23.0,8.0,ALL,Agha Salman,PAK,Spin,43.0,,1
2425,KL Rahul,,141,106,12,2,104.71,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v Pakistan,Colombo (RPS),2023-09-10,IND,111.0,7.5,WK,Lokesh Rahul,IND,,225.0,,2
2426,Mohammad Rizwan,2.0,6,5,0,0,40.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-10,PAK,2.0,8.5,WK,Mohammad Rizwan,PAK,,6.0,,1
2429,GD Phillips,2.0,7,4,0,0,50.0,2,2.0,0,9,0,4.5,1,1.0,1,0,0,1,v England,Southampton,2023-09-10,NZ,2.0,8.0,ALL,Glenn Phillips,NZ,Spin,14.0,,1
2430,Fakhar Zaman,27.0,98,50,2,0,54.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-10,PAK,27.0,8.0,BAT,Fakhar Zaman,PAK,,43.0,,1
2431,JC Buttler,30.0,35,25,4,0,120.0,1,DNB,0,0,0,0.0,2,2.0,2,0,2,0,v New Zealand,Southampton,2023-09-10,ENG,30.0,8.5,WK,Jos Buttler,ENG,,72.0,,2
2432,MJ Henry,,8,3,0,0,100.0,2,7.0,0,42,1,6.0,1,0.0,0,0,0,0,v England,Southampton,2023-09-10,NZ,3.0,8.5,BOWL,Matt Henry,NZ,Pace,32.0,,1
2434,DJ Mitchell,57.0,73,52,6,1,109.61,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Southampton,2023-09-10,NZ,57.0,8.5,BAT,Daryl Mitchell,NZ,,105.0,,1
2435,AAP Atkinson,,0,0,0,0,0.0,1,5.0,0,23,1,4.6,2,0.0,0,0,0,0,v New Zealand,Southampton,2023-09-10,ENG,,7.0,BOWL,Gus Atkinson,ENG,Pace,29.0,,2
2437,Haris Rauf,,0,0,0,0,0.0,2,5.0,0,27,0,5.4,1,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-10,PAK,,8.0,BOWL,Haris Rauf,PAK,Pace,4.0,,1
2438,Shubman Gill,58.0,83,52,10,0,111.53,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v Pakistan,Colombo (RPS),2023-09-10,IND,58.0,8.5,BAT,Shubman Gill,IND,,124.0,,2
2439,Faheem Ashraf,4.0,17,12,0,0,33.33,2,10.0,0,74,0,7.4,1,1.0,1,0,0,1,v India,Colombo (RPS),2023-09-10,PAK,4.0,6.5,ALL,Faheem Ashraf,PAK,Pace,14.0,,1
2441,RA Jadeja,,0,0,0,0,0.0,1,5.0,0,26,0,5.2,2,0.0,0,0,0,0,v Pakistan,Colombo (RPS),2023-09-10,IND,,8.0,ALL,Ravindra Jadeja,IND,Spin,4.0,,2
2442,Shaheen Shah Afridi,,9,6,0,1,116.66,2,10.0,0,79,1,7.9,1,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-10,PAK,7.0,9.0,BOWL,Shaheen Afridi,PAK,Pace,40.0,,1
2443,Babar Azam,10.0,29,24,2,0,41.66,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v India,Colombo (RPS),2023-09-10,PAK,10.0,8.5,BAT,Babar Azam,PAK,,20.0,,1
2444,RG Sharma,56.0,77,49,6,4,114.28,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Pakistan,Colombo (RPS),2023-09-10,IND,56.0,9.0,BAT,Rohit Sharma,IND,,122.0,,2
2445,Kuldeep Yadav,,0,0,0,0,0.0,1,8.0,0,25,5,3.12,2,1.0,1,0,0,1,v Pakistan,Colombo (RPS),2023-09-10,IND,,8.0,BOWL,Kuldeep Yadav,IND,Spin,145.0,,2
2449,R Ravindra,4.0,1,2,1,0,200.0,2,4.0,0,32,0,8.0,1,0.0,0,0,0,0,v England,Southampton,2023-09-10,NZ,4.0,8.0,BAT,Rachin Ravindra,NZ,,12.0,,1
2450,LS Livingstone,,98,78,9,1,121.79,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v New Zealand,Southampton,2023-09-10,ENG,95.0,7.0,ALL,Liam Livingstone,ENG,Spin,169.0,,2
2453,WA Young,33.0,51,39,5,0,84.61,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Southampton,2023-09-10,NZ,33.0,7.0,BAT,Will Young,NZ,,61.0,,1
2455,A Zampa,,0,0,0,0,0.0,1,9.0,1,48,4,5.33,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2023-09-09,AUS,,9.0,BOWL,Adam Zampa,AUS,Spin,114.0,,2
2456,Mushfiqur Rahim,29.0,85,48,0,0,60.41,2,DNB,0,0,0,0.0,1,3.0,3,0,3,0,v Sri Lanka,Colombo (RPS),2023-09-09,BAN,29.0,8.0,WK,Mushfiqur Rahim,BAN,,65.0,,2
2459,AK Markram,3.0,9,8,0,0,37.5,2,10.0,0,78,0,7.8,1,1.0,1,0,0,1,v Australia,Bloemfontein,2023-09-09,SA,3.0,8.0,ALL,Aiden Markram,SA,Spin,13.0,,1
2461,DA Miller,49.0,74,52,6,0,94.23,2,DNB,0,0,0,0.0,1,2.0,2,0,0,2,v Australia,Bloemfontein,2023-09-09,SA,49.0,7.5,BAT,David Miller,SA,,97.0,,1
2463,TM Head,64.0,50,36,9,3,177.77,1,4.0,0,41,0,10.25,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2023-09-09,AUS,64.0,9.0,BAT,Travis Head,AUS,,140.0,,2
2464,SA Abbott,,14,8,1,0,87.5,1,7.5,0,50,2,6.38,2,1.0,1,0,0,1,v South Africa,Bloemfontein,2023-09-09,AUS,7.0,7.5,BOWL,Sean Abbott,AUS,Pace,73.0,,2
2465,HE van der Dussen,17.0,39,19,1,0,89.47,2,DNB,0,0,0,0.0,1,2.0,2,0,0,2,v Australia,Bloemfontein,2023-09-09,SA,17.0,8.0,BAT,Rassie van der-Dussen,SA,,41.0,,1
2467,JP Inglis,50.0,39,37,7,1,135.13,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2023-09-09,AUS,50.0,7.5,WK,Josh Inglis,AUS,,104.0,,2
2468,NT Ellis,,9,9,0,1,155.55,1,8.0,1,32,2,4.0,2,1.0,1,0,0,1,v South Africa,Bloemfontein,2023-09-09,AUS,14.0,7.0,BOWL,Nathan Ellis,AUS,Pace,90.0,,2
2470,AT Carey,6.0,16,10,0,0,60.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2023-09-09,AUS,6.0,7.0,WK,Alex Carey,AUS,,10.0,,2
2471,Nasum Ahmed,15.0,36,15,0,1,100.0,2,10.0,1,31,0,3.1,1,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-09,BAN,15.0,7.0,BOWL,Nasum Ahmed,BAN,Spin,35.0,,2
2472,Towhid Hridoy,82.0,104,97,7,1,84.53,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-09,BAN,82.0,7.5,BAT,Tawhid Hridoy,BAN,,144.0,,2
2473,K Rabada,,24,15,0,2,113.33,2,9.0,0,79,2,8.77,1,0.0,0,0,0,0,v Australia,Bloemfontein,2023-09-09,SA,17.0,9.0,BOWL,Kagiso Rabada,SA,Pace,79.0,,1
2474,AM Hardie,3.0,8,5,0,0,60.0,1,10.0,0,62,2,6.2,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2023-09-09,AUS,3.0,6.5,ALL,Aaron Hardie,AUS,Pace,57.0,,2
2475,M Jansen,23.0,45,28,0,2,82.14,2,9.0,0,63,1,7.0,1,0.0,0,0,0,0,v Australia,Bloemfontein,2023-09-09,SA,23.0,8.5,ALL,Marco Jansen,SA,Pace,62.0,,1
2477,Mehidy Hasan Miraz,28.0,53,29,4,0,96.55,2,3.0,0,14,0,4.66,1,0.0,0,0,0,0,v Sri Lanka,Colombo (RPS),2023-09-09,BAN,28.0,8.5,ALL,Mehidy Hasan Miraz,BAN,Spin,52.0,,2
2479,M Labuschagne,124.0,135,99,19,1,125.25,1,3.0,0,33,0,11.0,2,1.0,1,0,0,1,v South Africa,Bloemfontein,2023-09-09,AUS,124.0,7.5,BAT,Marnus Labuschagne,AUS,,262.0,,2
2480,Taskin Ahmed,1.0,3,3,0,0,33.33,2,10.0,0,62,3,6.2,1,1.0,1,0,0,1,v Sri Lanka,Colombo (RPS),2023-09-09,BAN,1.0,8.5,BOWL,Taskin Ahmed,BAN,Pace,88.0,,2
2481,T Bavuma,46.0,55,40,4,3,115.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Bloemfontein,2023-09-09,SA,46.0,8.0,BAT,Temba Bavuma,SA,,90.0,,1
2483,T Shamsi,0.0,1,1,0,0,0.0,2,10.0,0,61,4,6.1,1,0.0,0,0,0,0,v Australia,Bloemfontein,2023-09-09,SA,0.0,6.5,BOWL,Tabraiz Shamsi,SA,Spin,108.0,,1
2484,H Klaasen,49.0,48,36,3,3,136.11,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Bloemfontein,2023-09-09,SA,49.0,9.0,WK,Heinrich Klaasen,SA,,91.0,,1
2488,LH Ferguson,,0,0,0,0,0.0,2,9.0,0,50,1,5.55,1,1.0,1,0,0,1,v England,Cardiff,2023-09-08,NZ,,7.5,BOWL,Lockie Ferguson,NZ,Pace,37.0,,1
2489,LS Livingstone,52.0,42,40,3,3,130.0,1,7.4,0,47,0,6.13,2,0.0,0,0,0,0,v New Zealand,Cardiff,2023-09-08,ENG,52.0,7.0,ALL,Liam Livingstone,ENG,Spin,102.0,,2
2491,DP Conway,,177,121,13,1,91.73,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Cardiff,2023-09-08,NZ,111.0,8.0,WK,Devon Conway,NZ,,213.0,,1
2492,AU Rashid,,0,0,0,0,0.0,1,8.0,0,70,1,8.75,2,0.0,0,0,0,0,v New Zealand,Cardiff,2023-09-08,ENG,,8.5,BOWL,Adil Rashid,ENG,Spin,25.0,,2
2494,GD Phillips,,0,0,0,0,0.0,2,4.0,0,16,0,4.0,1,0.0,0,0,0,0,v England,Cardiff,2023-09-08,NZ,,8.0,ALL,Glenn Phillips,NZ,Spin,4.0,,1
2495,WA Young,29.0,45,33,5,0,87.87,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Cardiff,2023-09-08,NZ,29.0,7.0,BAT,Will Young,NZ,,57.0,,1
