,player,runs,mins,bf,4s,6s,sr,inns_batting,overs,mdns,runs_given,wkts,econ,inns_bowling,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country,runs_clean,Credits,Player Type,Player Name,Team,Bowling Style,fantasy_points,preferred_style,opponent_tier
27,V Kohli,,151,111,7,0,90.09,2,DNB,0,0,0,0.0,1,2.0,2,0,0,2,v Pakistan,Dubai (DICS),2025-02-23,IND,100.0,9.0,BAT,Virat Kohli,IND,,188.0,SPIN,2
28,Agha Salman,19.0,36,24,0,0,79.16,1,2.0,0,10,0,5.0,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK,19.0,8.0,ALL,Agha Salman,PAK,Spin,23.0,SPIN,1
29,Tayyab Tahir,4.0,5,6,0,0,66.66,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK,4.0,6.5,BAT,Tayyab Tahir,PAK,,8.0,SPIN,1
30,Babar Azam,23.0,42,26,5,0,88.46,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK,23.0,8.5,BAT,Babar Azam,PAK,,47.0,SPIN,1
31,Mohammad Rizwan,46.0,108,77,3,0,59.74,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v India,Dubai (DICS),2025-02-23,PAK,46.0,8.5,WK,Mohammad Rizwan,PAK,,74.0,SPIN,1
32,AR Patel,,11,4,0,0,75.0,2,10.0,0,49,1,4.9,1,1.0,1,0,0,1,v Pakistan,Dubai (DICS),2025-02-23,IND,3.0,8.0,ALL,Axar Patel,IND,Spin,40.0,SPIN,2
33,Mohammed Shami,,0,0,0,0,0.0,2,8.0,0,43,0,5.37,1,0.0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND,,8.5,BOWL,Mohammed Shami,IND,Pace,4.0,SPIN,2
34,Harshit Rana,,0,0,0,0,0.0,2,7.4,0,30,1,3.91,1,0.0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND,,6.5,BOWL,Harshit Rana,IND,Pace,31.0,SPIN,2
35,HH Pandya,8.0,5,6,1,0,133.33,2,8.0,0,31,2,3.87,1,0.0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND,8.0,8.5,ALL,Hardik Pandya,IND,Pace,68.0,SPIN,2
36,RA Jadeja,,0,0,0,0,0.0,2,7.0,0,40,1,5.71,1,1.0,1,0,0,1,v Pakistan,Dubai (DICS),2025-02-23,IND,,8.0,ALL,Ravindra Jadeja,IND,Spin,37.0,SPIN,2
37,Shaheen Shah Afridi,0.0,1,1,0,0,0.0,1,8.0,0,74,2,9.25,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK,0.0,9.0,BOWL,Shaheen Afridi,PAK,Pace,48.0,SPIN,1
38,Abrar Ahmed,,3,0,0,0,0.0,1,10.0,0,28,1,2.8,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK,0.0,7.0,BOWL,Abrar Ahmed,PAK,Spin,33.0,SPIN,1
39,Kuldeep Yadav,,0,0,0,0,0.0,2,9.0,0,40,3,4.44,1,0.0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND,,8.0,BOWL,Kuldeep Yadav,IND,Spin,81.0,SPIN,2
40,Shubman Gill,46.0,75,52,7,0,88.46,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND,46.0,8.5,BAT,Shubman Gill,IND,,82.0,SPIN,2
41,RG Sharma,20.0,22,15,3,1,133.33,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Pakistan,Dubai (DICS),2025-02-23,IND,20.0,9.0,BAT,Rohit Sharma,IND,,42.0,SPIN,2
42,Haris Rauf,8.0,11,7,0,1,114.28,1,7.0,0,52,0,7.42,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK,8.0,8.0,BOWL,Haris Rauf,PAK,Pace,16.0,SPIN,1
43,Khushdil Shah,38.0,58,39,0,2,97.43,1,7.3,0,43,1,5.73,2,0.0,0,0,0,0,v India,Dubai (DICS),2025-02-23,PAK,38.0,6.5,ALL,Khushdil Shah,PAK,Spin,83.0,SPIN,1
44,GJ Maxwell,,36,15,4,2,213.33,2,7.0,0,58,1,8.28,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,32.0,8.5,ALL,Glenn Maxwell,AUS,Spin,89.0,BAT,1
45,JE Root,68.0,106,78,4,0,87.17,1,4.0,0,26,0,6.5,2,0.0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG,68.0,8.0,ALL,Joe Root,ENG,Spin,100.0,BAT,1
46,NT Ellis,,0,0,0,0,0.0,2,10.0,0,51,0,5.1,1,2.0,2,0,0,2,v England,Lahore,2025-02-22,AUS,,7.0,BOWL,Nathan Ellis,AUS,Pace,20.0,BAT,1
47,JL Smith,15.0,16,13,3,0,115.38,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG,15.0,6.0,WK,Jamie Smith,ENG,,31.0,BAT,1
48,BA Carse,8.0,13,7,0,0,114.28,1,7.0,0,69,1,9.85,2,0.0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG,8.0,7.0,BOWL,Brydon Carse,ENG,Pace,31.0,BAT,1
49,JC Archer,,10,10,2,1,210.0,1,10.0,0,82,1,8.2,2,1.0,1,0,0,1,v Australia,Lahore,2025-02-22,ENG,21.0,8.0,BOWL,Jofra Archer,ENG,Pace,68.0,BAT,1
